requested_k,ratio,entropy_low_upper,entropy_medium_upper,discovery_cases
5,0.25,0.5004024235381879,1.0549201679861442,1149
5,0.5,0.6730116670092565,1.0549201679861442,1149
5,0.66,0.5004024235381879,1.0549201679861442,1149
5,0.75,0.5004024235381879,0.9502705392332347,1149
10,0.25,0.9404479886553263,1.3592367006650063,1149
10,0.5,0.8979457248567797,1.2798542258336674,1149
10,0.66,0.639031859650177,1.2275294114572126,1149
10,0.75,0.5004024235381879,1.193549604098133,1149
20,0.25,1.0790774247673154,1.5910929054167249,1149
20,0.5,0.9958213213455276,1.5120980302146707,1149
20,0.66,0.8711332705993318,1.4616359728134236,1149
20,0.75,0.6874357505033553,1.328515191203992,1149
