cohort,user_id,training_trajectories,test_trajectories,destination_regions,destination_entropy_nats,effective_destination_regions,modal_destination_share,singleton_region_share,singleton_training_endpoint_share,mean_location_ambiguity_entropy,mean_effective_compatible_destinations,no_prefix_analogue_q90_share,history_size_stratum
held_out,0,120,40,20,1.8084065581568165,6.100718542879727,0.36666666666666664,0.75,0.125,1.153763825196879,3.4427413938315032,0.28125,long
held_out,16,36,12,13,1.9615770447928866,7.110531854843094,0.3333333333333333,0.7692307692307693,0.2777777777777778,1.2754966913913937,3.792026765104886,0.14583333333333334,short
held_out,17,283,95,69,2.649543811841537,14.147583213109186,0.3957597173144876,0.7536231884057971,0.18374558303886926,1.2606869154377378,3.991496761934496,0.20526315789473684,long
held_out,19,54,19,31,2.891669569936224,18.023375782125793,0.3148148148148148,0.8064516129032258,0.46296296296296297,1.3994209257563177,5.077599311660566,0.09210526315789473,short
held_out,20,97,33,8,0.98354007576843,2.673905334290857,0.5360824742268041,0.75,0.061855670103092786,0.32846301978419384,1.502193809568519,0.0,medium
held_out,24,70,24,16,1.7048716119180014,5.500679400196453,0.5714285714285714,0.625,0.14285714285714285,1.085682454311068,3.120805073688343,0.0625,medium
held_out,25,496,166,124,2.9822554769173584,19.732272176124173,0.4435483870967742,0.75,0.1875,1.3303127114553086,4.629643954921387,0.21234939759036145,long
held_out,26,31,11,8,1.3650697608766793,3.915996225793973,0.5161290322580645,0.75,0.1935483870967742,0.6356138349446554,1.9371864145214963,0.022727272727272728,short
held_out,28,46,16,13,1.7043903517275467,5.498032779088455,0.3695652173913043,0.7692307692307693,0.21739130434782608,0.777000382128715,2.3137657444926005,0.140625,short
held_out,29,31,11,6,1.1617409846790445,3.1954917382718158,0.4838709677419355,0.6666666666666666,0.12903225806451613,0.5252746084321968,1.8834872723077185,0.09090909090909091,short
held_out,35,55,19,5,0.6097320751621673,1.8399383675481826,0.8363636363636363,0.6,0.05454545454545454,0.4032547253617122,1.6484536199478648,0.21052631578947367,medium
held_out,36,51,18,15,1.9135928155882957,6.777395039009574,0.39215686274509803,0.6666666666666666,0.19607843137254902,0.8985077737803562,2.572573579545839,0.013888888888888888,short
held_out,37,108,37,38,2.2288448077617233,9.28912914917484,0.5277777777777778,0.8947368421052632,0.3148148148148148,0.9766407952701865,3.1511167324303813,0.08783783783783784,medium
held_out,38,78,26,26,1.991298816700219,7.325041472781074,0.5128205128205128,0.9230769230769231,0.3076923076923077,1.0403080880505038,3.08285147100323,0.10576923076923077,medium
held_out,39,168,56,38,2.58838160468445,13.30821621055388,0.25595238095238093,0.6842105263157895,0.15476190476190477,0.9588099812367722,2.8516626195856327,0.017857142857142856,long
held_out,51,32,11,16,2.26218280351003,9.604030013997328,0.34375,0.8125,0.40625,1.2512454353508347,3.567360574034791,0.09090909090909091,short
held_out,52,73,25,20,1.9581557007482746,7.08624584810993,0.4794520547945205,0.75,0.2054794520547945,1.3263237406193504,3.8906227389872896,0.3,medium
held_out,62,434,145,173,3.6773734409757397,39.54239711530315,0.37327188940092165,0.7861271676300579,0.31336405529953915,1.2525721098815799,4.264709262157412,0.0034482758620689655,long
held_out,65,87,30,23,2.2552600227098614,9.537773025329747,0.3218390804597701,0.6086956521739131,0.16091954022988506,1.1998922244035175,3.8529690630871536,0.15,medium
held_out,68,296,99,29,1.2957358920756412,3.6536837019643515,0.46959459459459457,0.7931034482758621,0.0777027027027027,0.9030966337034974,2.6405842551456313,0.3434343434343434,long
held_out,71,53,18,8,1.4519583512312857,4.2714713708872445,0.39622641509433965,0.5,0.07547169811320754,0.8030425841468927,2.392103308625055,0.3194444444444444,short
held_out,85,311,104,54,2.5014038207999523,12.1996080088386,0.33440514469453375,0.7592592592592593,0.13183279742765272,1.5205201884316604,4.832677091471049,0.0889423076923077,long
held_out,88,36,12,14,2.2248716414468857,9.252295116469465,0.19444444444444445,0.7142857142857143,0.2777777777777778,1.035409489017159,2.8789523440734803,0.20833333333333334,short
held_out,89,45,15,17,1.9464404366988117,7.003712997895931,0.4666666666666667,0.8823529411764706,0.3333333333333333,0.7577321592191026,2.57677354631718,0.13333333333333333,short
held_out,91,66,23,18,1.9216932937832056,6.832518140059595,0.4696969696969697,0.7222222222222222,0.19696969696969696,0.8961085385140978,2.81239043062937,0.14130434782608695,medium
held_out,92,107,36,40,2.539365053658777,12.6716226155503,0.4485981308411215,0.825,0.308411214953271,1.3188396550696513,4.094109068087252,0.3194444444444444,medium
held_out,96,80,27,11,1.3734138126647009,3.948808203150174,0.4625,0.6363636363636364,0.0875,0.6062134631249746,1.9989196111539183,0.4166666666666667,medium
held_out,101,47,16,21,2.4175694030542623,11.218558355833457,0.3617021276595745,0.7142857142857143,0.3191489361702128,0.8659825819587934,2.5774393285501738,0.0,short
held_out,103,33,12,15,2.19477361815183,8.977968377673069,0.30303030303030304,0.8,0.36363636363636365,1.0926849492932074,3.1803317831959443,0.0,short
held_out,112,141,47,36,2.0701422174665884,7.925950246263244,0.3900709219858156,0.8333333333333334,0.2127659574468085,0.8089826768424536,2.7056171687723953,0.015957446808510637,long
held_out,119,33,11,13,2.0512193323348145,7.777378536193457,0.3333333333333333,0.6923076923076923,0.2727272727272727,1.4541963203939494,4.464667712473658,0.09090909090909091,short
held_out,126,187,63,45,2.4433323006776675,11.511336134680398,0.28342245989304815,0.7333333333333333,0.17647058823529413,0.887039823200917,2.8124596346119977,0.07142857142857142,long
held_out,134,48,16,9,1.531888964164163,4.62690863726726,0.4375,0.5555555555555556,0.10416666666666667,0.6526513487949797,2.029790734305018,0.109375,short
held_out,144,358,120,135,3.642090046198444,38.17153368008562,0.27932960893854747,0.837037037037037,0.31564245810055863,1.1060397337533578,3.8384019701260796,0.13333333333333333,long
held_out,147,57,20,9,1.6522283269394393,5.218595617684864,0.40350877192982454,0.4444444444444444,0.07017543859649122,0.8199691232362378,2.3625804033160476,0.2375,medium
held_out,168,70,24,16,1.6991273401388596,5.469172581252184,0.4,0.75,0.17142857142857143,0.264844264058029,1.3898303883144025,0.0,medium
