user_id,ratio,full_prefix_hit_r90,current_only_hit_r90,paired_effect,cases
0,0.25,0.55,0.375,0.175,40
0,0.5,0.425,0.225,0.2,40
0,0.66,0.475,0.3,0.175,40
0,0.75,0.45,0.45,0.0,40
16,0.25,0.4166666666666667,0.16666666666666666,0.25,12
16,0.5,0.25,0.3333333333333333,-0.08333333333333333,12
16,0.66,0.5,0.3333333333333333,0.16666666666666666,12
16,0.75,0.3333333333333333,0.5833333333333334,-0.25,12
17,0.25,0.29473684210526313,0.18947368421052632,0.10526315789473684,95
17,0.5,0.2736842105263158,0.18947368421052632,0.08421052631578947,95
17,0.66,0.2631578947368421,0.21052631578947367,0.05263157894736842,95
17,0.75,0.28421052631578947,0.30526315789473685,-0.021052631578947368,95
19,0.25,0.42105263157894735,0.42105263157894735,0.0,19
19,0.5,0.42105263157894735,0.2631578947368421,0.15789473684210525,19
19,0.66,0.42105263157894735,0.42105263157894735,0.0,19
19,0.75,0.47368421052631576,0.42105263157894735,0.05263157894736842,19
20,0.25,0.8181818181818182,0.696969696969697,0.12121212121212122,33
20,0.5,0.8484848484848485,0.7878787878787878,0.06060606060606061,33
20,0.66,0.8484848484848485,0.8181818181818182,0.030303030303030304,33
20,0.75,0.8484848484848485,0.8181818181818182,0.030303030303030304,33
24,0.25,0.5416666666666666,0.4166666666666667,0.125,24
24,0.5,0.4583333333333333,0.5833333333333334,-0.125,24
24,0.66,0.5833333333333334,0.5,0.08333333333333333,24
24,0.75,0.5833333333333334,0.4166666666666667,0.16666666666666666,24
25,0.25,0.3614457831325301,0.23493975903614459,0.12650602409638553,166
25,0.5,0.3253012048192771,0.3072289156626506,0.018072289156626505,166
25,0.66,0.3313253012048193,0.3433734939759036,-0.012048192771084338,166
25,0.75,0.3433734939759036,0.42168674698795183,-0.0783132530120482,166
26,0.25,0.7272727272727273,0.36363636363636365,0.36363636363636365,11
26,0.5,0.7272727272727273,0.6363636363636364,0.09090909090909091,11
26,0.66,0.7272727272727273,0.6363636363636364,0.09090909090909091,11
26,0.75,0.7272727272727273,0.6363636363636364,0.09090909090909091,11
28,0.25,0.625,0.5,0.125,16
28,0.5,0.625,0.25,0.375,16
28,0.66,0.625,0.4375,0.1875,16
28,0.75,0.5625,0.5625,0.0,16
29,0.25,0.9090909090909091,0.6363636363636364,0.2727272727272727,11
29,0.5,0.8181818181818182,0.7272727272727273,0.09090909090909091,11
29,0.66,0.9090909090909091,0.8181818181818182,0.09090909090909091,11
29,0.75,0.9090909090909091,0.8181818181818182,0.09090909090909091,11
35,0.25,0.631578947368421,0.5789473684210527,0.05263157894736842,19
35,0.5,0.631578947368421,0.47368421052631576,0.15789473684210525,19
35,0.66,0.631578947368421,0.6842105263157895,-0.05263157894736842,19
35,0.75,0.6842105263157895,0.6842105263157895,0.0,19
36,0.25,0.3333333333333333,0.1111111111111111,0.2222222222222222,18
36,0.5,0.2777777777777778,0.2222222222222222,0.05555555555555555,18
36,0.66,0.2777777777777778,0.1111111111111111,0.16666666666666666,18
36,0.75,0.2777777777777778,0.2222222222222222,0.05555555555555555,18
37,0.25,0.1891891891891892,0.16216216216216217,0.02702702702702703,37
37,0.5,0.1891891891891892,0.16216216216216217,0.02702702702702703,37
37,0.66,0.1891891891891892,0.1891891891891892,0.0,37
37,0.75,0.24324324324324326,0.08108108108108109,0.16216216216216217,37
38,0.25,0.34615384615384615,0.19230769230769232,0.15384615384615385,26
38,0.5,0.3076923076923077,0.3076923076923077,0.0,26
38,0.66,0.3076923076923077,0.3076923076923077,0.0,26
38,0.75,0.34615384615384615,0.19230769230769232,0.15384615384615385,26
39,0.25,0.44642857142857145,0.3392857142857143,0.10714285714285714,56
39,0.5,0.5,0.32142857142857145,0.17857142857142858,56
39,0.66,0.5,0.42857142857142855,0.07142857142857142,56
39,0.75,0.5357142857142857,0.4642857142857143,0.07142857142857142,56
51,0.25,0.2727272727272727,0.09090909090909091,0.18181818181818182,11
51,0.5,0.2727272727272727,0.18181818181818182,0.09090909090909091,11
51,0.66,0.2727272727272727,0.2727272727272727,0.0,11
51,0.75,0.2727272727272727,0.09090909090909091,0.18181818181818182,11
52,0.25,0.12,0.12,0.0,25
52,0.5,0.12,0.12,0.0,25
52,0.66,0.12,0.24,-0.12,25
52,0.75,0.12,0.28,-0.16,25
62,0.25,0.41379310344827586,0.2896551724137931,0.12413793103448276,145
62,0.5,0.42758620689655175,0.3724137931034483,0.05517241379310345,145
62,0.66,0.4413793103448276,0.36551724137931035,0.07586206896551724,145
62,0.75,0.4482758620689655,0.42758620689655175,0.020689655172413793,145
65,0.25,0.2,0.23333333333333334,-0.03333333333333333,30
65,0.5,0.4666666666666667,0.4,0.06666666666666667,30
65,0.66,0.5,0.6,-0.1,30
65,0.75,0.5666666666666667,0.6666666666666666,-0.1,30
68,0.25,0.3939393939393939,0.30303030303030304,0.09090909090909091,99
68,0.5,0.32323232323232326,0.36363636363636365,-0.04040404040404041,99
68,0.66,0.41414141414141414,0.46464646464646464,-0.050505050505050504,99
68,0.75,0.43434343434343436,0.40404040404040403,0.030303030303030304,99
71,0.25,0.2222222222222222,0.3888888888888889,-0.16666666666666666,18
71,0.5,0.2777777777777778,0.2777777777777778,0.0,18
71,0.66,0.3333333333333333,0.3333333333333333,0.0,18
71,0.75,0.4444444444444444,0.3333333333333333,0.1111111111111111,18
85,0.25,0.40384615384615385,0.33653846153846156,0.0673076923076923,104
85,0.5,0.5288461538461539,0.19230769230769232,0.33653846153846156,104
85,0.66,0.5865384615384616,0.4423076923076923,0.14423076923076922,104
85,0.75,0.5769230769230769,0.4423076923076923,0.1346153846153846,104
88,0.25,0.25,0.25,0.0,12
88,0.5,0.16666666666666666,0.25,-0.08333333333333333,12
88,0.66,0.25,0.3333333333333333,-0.08333333333333333,12
88,0.75,0.25,0.3333333333333333,-0.08333333333333333,12
89,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,15
89,0.5,0.6666666666666666,0.4,0.26666666666666666,15
89,0.66,0.6666666666666666,0.6666666666666666,0.0,15
89,0.75,0.6666666666666666,0.6666666666666666,0.0,15
91,0.25,0.34782608695652173,0.17391304347826086,0.17391304347826086,23
91,0.5,0.34782608695652173,0.34782608695652173,0.0,23
91,0.66,0.34782608695652173,0.34782608695652173,0.0,23
91,0.75,0.34782608695652173,0.34782608695652173,0.0,23
92,0.25,0.2777777777777778,0.19444444444444445,0.08333333333333333,36
92,0.5,0.3611111111111111,0.2222222222222222,0.1388888888888889,36
92,0.66,0.3055555555555556,0.2777777777777778,0.027777777777777776,36
92,0.75,0.3611111111111111,0.3055555555555556,0.05555555555555555,36
96,0.25,0.4444444444444444,0.37037037037037035,0.07407407407407407,27
96,0.5,0.4074074074074074,0.3333333333333333,0.07407407407407407,27
96,0.66,0.4074074074074074,0.4444444444444444,-0.037037037037037035,27
96,0.75,0.4074074074074074,0.3333333333333333,0.07407407407407407,27
101,0.25,0.5,0.25,0.25,16
101,0.5,0.5625,0.3125,0.25,16
101,0.66,0.5625,0.4375,0.125,16
101,0.75,0.5625,0.5,0.0625,16
103,0.25,0.16666666666666666,0.16666666666666666,0.0,12
103,0.5,0.25,0.08333333333333333,0.16666666666666666,12
103,0.66,0.25,0.3333333333333333,-0.08333333333333333,12
103,0.75,0.3333333333333333,0.3333333333333333,0.0,12
112,0.25,0.723404255319149,0.425531914893617,0.2978723404255319,47
112,0.5,0.7446808510638298,0.48936170212765956,0.2553191489361702,47
112,0.66,0.7446808510638298,0.6808510638297872,0.06382978723404255,47
112,0.75,0.7446808510638298,0.6595744680851063,0.0851063829787234,47
119,0.25,0.2727272727272727,0.09090909090909091,0.18181818181818182,11
119,0.5,0.36363636363636365,0.09090909090909091,0.2727272727272727,11
119,0.66,0.36363636363636365,0.2727272727272727,0.09090909090909091,11
119,0.75,0.36363636363636365,0.18181818181818182,0.18181818181818182,11
126,0.25,0.4444444444444444,0.2857142857142857,0.15873015873015872,63
126,0.5,0.5238095238095238,0.3968253968253968,0.12698412698412698,63
126,0.66,0.5238095238095238,0.47619047619047616,0.047619047619047616,63
126,0.75,0.5238095238095238,0.47619047619047616,0.047619047619047616,63
134,0.25,0.25,0.1875,0.0625,16
134,0.5,0.25,0.3125,-0.0625,16
134,0.66,0.3125,0.3125,0.0,16
134,0.75,0.375,0.375,0.0,16
144,0.25,0.5,0.2833333333333333,0.21666666666666667,120
144,0.5,0.475,0.35,0.125,120
144,0.66,0.44166666666666665,0.4083333333333333,0.03333333333333333,120
144,0.75,0.5,0.425,0.075,120
147,0.25,0.25,0.35,-0.1,20
147,0.5,0.35,0.55,-0.2,20
147,0.66,0.35,0.6,-0.25,20
147,0.75,0.35,0.75,-0.4,20
168,0.25,0.7083333333333334,0.625,0.08333333333333333,24
168,0.5,0.7083333333333334,0.6666666666666666,0.041666666666666664,24
168,0.66,0.7083333333333334,0.7083333333333334,0.0,24
168,0.75,0.7083333333333334,0.75,-0.041666666666666664,24
179,0.25,0.3333333333333333,0.3333333333333333,0.0,18
179,0.5,0.3888888888888889,0.3333333333333333,0.05555555555555555,18
179,0.66,0.3888888888888889,0.16666666666666666,0.2222222222222222,18
179,0.75,0.3333333333333333,0.2222222222222222,0.1111111111111111,18
0,mean,0.475,0.3375,0.1375,160
16,mean,0.375,0.35416666666666663,0.02083333333333333,48
17,mean,0.2789473684210526,0.2236842105263158,0.05526315789473684,380
19,mean,0.43421052631578944,0.381578947368421,0.05263157894736842,76
20,mean,0.8409090909090909,0.7803030303030303,0.06060606060606061,132
24,mean,0.5416666666666666,0.4791666666666667,0.0625,96
25,mean,0.34036144578313254,0.32680722891566266,0.013554216867469875,664
26,mean,0.7272727272727273,0.5681818181818181,0.1590909090909091,44
28,mean,0.609375,0.4375,0.171875,64
29,mean,0.8863636363636364,0.75,0.13636363636363635,44
35,mean,0.6447368421052632,0.6052631578947368,0.039473684210526314,76
36,mean,0.2916666666666667,0.16666666666666666,0.125,72
37,mean,0.20270270270270271,0.14864864864864866,0.05405405405405406,148
38,mean,0.3269230769230769,0.25,0.07692307692307693,104
39,mean,0.4955357142857143,0.38839285714285715,0.10714285714285715,224
51,mean,0.2727272727272727,0.1590909090909091,0.11363636363636365,44
52,mean,0.12,0.19,-0.07,100
62,mean,0.4327586206896552,0.36379310344827587,0.06896551724137931,580
65,mean,0.43333333333333335,0.475,-0.04166666666666667,120
68,mean,0.39141414141414144,0.38383838383838387,0.007575757575757576,396
71,mean,0.3194444444444444,0.3333333333333333,-0.013888888888888888,72
85,mean,0.5240384615384616,0.3533653846153846,0.17067307692307693,416
88,mean,0.22916666666666666,0.29166666666666663,-0.0625,48
89,mean,0.6666666666666666,0.5166666666666666,0.15,60
91,mean,0.34782608695652173,0.30434782608695654,0.043478260869565216,92
92,mean,0.3263888888888889,0.25,0.07638888888888888,144
96,mean,0.41666666666666663,0.37037037037037035,0.046296296296296294,108
101,mean,0.546875,0.375,0.171875,64
103,mean,0.25,0.22916666666666666,0.020833333333333332,48
112,mean,0.7393617021276595,0.5638297872340425,0.17553191489361702,188
119,mean,0.34090909090909094,0.1590909090909091,0.18181818181818182,44
126,mean,0.503968253968254,0.4087301587301587,0.09523809523809523,252
134,mean,0.296875,0.296875,0.0,64
144,mean,0.47916666666666663,0.36666666666666664,0.1125,480
147,mean,0.32499999999999996,0.5625,-0.23750000000000002,80
168,mean,0.7083333333333334,0.6875,0.020833333333333332,96
179,mean,0.3611111111111111,0.2638888888888889,0.09722222222222221,72
