method,reference_method,quantity,ratio_or_change,observed_difference,bootstrap_mean,ci_low,ci_high,users
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.25,0.085978239574415,0.08604090562053476,0.04647488975833179,0.1283665563171115,37
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.5,0.05762259654269405,0.05742653168587977,0.012517158224213593,0.10170107262983263,37
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.66,0.0031880959194553705,0.0033033733763382367,-0.032387281626296914,0.03938990865583016,37
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.75,0.010074146082896123,0.01004057720841255,-0.021999107623716752,0.0437628950632684,37
aligned_pointwise_mean,current_position_only_personal_retrieval,mean_across_ratios,mean,0.03921576952986514,0.0391928651327633,0.017193086101092596,0.06132034030083842,37
aligned_pointwise_mean,current_position_only_personal_retrieval,difference_in_change,75_minus_25,-0.07590409349151886,-0.07555752031049387,-0.13119390374923562,-0.020847669650984023,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.25,0.07879038622115829,0.0790622100049291,0.038145811276269224,0.12159417146940232,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.5,0.06857474067821849,0.06856457967845805,0.028173059139966095,0.11053123057465576,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.66,0.02410425675897087,0.023855857805840416,-0.009314053817447931,0.058623628449746584,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.75,0.02194861397508338,0.02190145895035667,-0.007747575218975791,0.05370276886187645,37
dtw_mean_path_cost,current_position_only_personal_retrieval,mean_across_ratios,mean,0.04835449940835775,0.04843423795642993,0.025524059846384922,0.07136096835227144,37
dtw_mean_path_cost,current_position_only_personal_retrieval,difference_in_change,75_minus_25,-0.056841772246074895,-0.05696969362880471,-0.10779512370243359,-0.006124224057518397,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.25,0.06321797848898156,0.063456478930555,0.024956434529221416,0.10317676088246162,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.5,0.06950019371204362,0.0694339764872956,0.029413616680033925,0.11165440217881162,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.66,0.028001761763974765,0.02786818958808177,-0.006671352635336839,0.06362108237699077,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.75,0.014481304626716584,0.014335293854283348,-0.019426809766440754,0.04879776236996907,37
discrete_frechet,current_position_only_personal_retrieval,mean_across_ratios,mean,0.043800309647929137,0.043618645741690186,0.019984189407455687,0.0675214530484741,37
discrete_frechet,current_position_only_personal_retrieval,difference_in_change,75_minus_25,-0.048736673862264976,-0.048614391666604084,-0.10185287960245268,0.006206964111679926,37
