prefix_familiarity,ratio,full_grid_hit_r90,last_state_grid_hit_r90,paired_difference,users,cases
analogue_present,0.25,0.45321665005689704,0.39273669155434004,0.060479958502557045,37,1278
analogue_present,0.5,0.4737079864132708,0.4128830572262393,0.060824929187031467,37,1262
analogue_present,0.66,0.49902237952279577,0.4974206192471501,0.0016017602756456665,37,1263
analogue_present,0.75,0.5163257052820456,0.5280630303346006,-0.011737325052554919,37,1259
no_close_analogue,0.25,0.16507413652574943,0.09671698816860107,0.06835714835714836,30,197
no_close_analogue,0.5,0.14600299552861226,0.21626689776594898,-0.07026390223733678,31,213
no_close_analogue,0.66,0.14562939455180834,0.1917000863121553,-0.046070691760346935,29,212
no_close_analogue,0.75,0.16839042049568365,0.1772256398572188,-0.00883521936153515,30,216
