prefix_familiarity,ratio,observed_difference,bootstrap_mean,ci_low,ci_high,users,cases
analogue_present,0.25,0.060479958502557045,0.060673965426785596,0.019019303585565143,0.10786747825205044,37,1278
analogue_present,0.5,0.060824929187031467,0.06088976065711953,0.01575156775802271,0.10639848908532909,37,1262
analogue_present,0.66,0.0016017602756456665,0.0017738611993769438,-0.027032782259565822,0.031007656360289668,37,1263
analogue_present,0.75,-0.011737325052554919,-0.011659823849912822,-0.04097930239409331,0.012802186736409201,37,1259
no_close_analogue,0.25,0.06835714835714836,0.06883884684045975,-0.013718267806977486,0.15380940236585391,30,197
no_close_analogue,0.5,-0.07026390223733678,-0.07004798234445295,-0.18902021365731042,0.034480307274424915,31,213
no_close_analogue,0.66,-0.046070691760346935,-0.04597277883036503,-0.11159027514630963,0.003696120689655149,29,212
no_close_analogue,0.75,-0.00883521936153515,-0.00833801308827625,-0.0752287537024379,0.05703998632945997,30,216
