analysis,stratum,ratio,observed_difference,bootstrap_mean,ci_low,ci_high,users,cases
ambiguity_k10,high,0.25,0.07150682597697358,0.07156313520320855,-0.020878952811557737,0.1699937002023846,30,586
ambiguity_k10,high,0.5,0.011006271033177533,0.01092334620385945,-0.05938177901762133,0.07832053056170518,30,585
ambiguity_k10,high,0.66,0.009665205286425043,0.009170804951013368,-0.10804773985255336,0.1317231460086173,32,532
ambiguity_k10,high,0.75,0.028124798888751645,0.02804291761251406,-0.04781673229847086,0.11912102879465325,30,541
ambiguity_k10,low,0.25,0.02997820977267605,0.029694746837538463,-0.014354467283392153,0.0776633102545485,32,484
ambiguity_k10,low,0.5,0.06967218221911588,0.06997759412759692,0.0018614111759943726,0.15547880075373324,34,457
ambiguity_k10,low,0.66,-0.013913795415174466,-0.013832878097916642,-0.04471437836782503,0.01189730963210187,32,548
ambiguity_k10,low,0.75,-0.005773701157197438,-0.005798015495595999,-0.029531179990315876,0.0202271763504727,30,492
ambiguity_k10,medium,0.25,0.10991711489868554,0.10945406575776215,0.027727291451339897,0.2058164269125041,34,405
ambiguity_k10,medium,0.5,0.06494515662532134,0.06476650519672503,-0.01471848927537475,0.14327645889342866,35,433
ambiguity_k10,medium,0.66,0.010789087259675494,0.010913864842982488,-0.04358286983286984,0.06856132418632416,37,395
ambiguity_k10,medium,0.75,0.00965846376173665,0.0094576351577559,-0.030401326117491523,0.05889367644064127,35,442
