user_id,ratio,full_grid_hit_r90,last_state_grid_hit_r90,paired_effect,cases
0,0.25,0.525,0.325,0.2,40
0,0.5,0.425,0.25,0.175,40
0,0.66,0.45,0.375,0.075,40
0,0.75,0.45,0.4,0.05,40
16,0.25,0.4166666666666667,0.25,0.16666666666666666,12
16,0.5,0.25,0.4166666666666667,-0.16666666666666666,12
16,0.66,0.5,0.5,0.0,12
16,0.75,0.3333333333333333,0.6666666666666666,-0.3333333333333333,12
17,0.25,0.29473684210526313,0.25263157894736843,0.042105263157894736,95
17,0.5,0.2736842105263158,0.2631578947368421,0.010526315789473684,95
17,0.66,0.2631578947368421,0.2736842105263158,-0.010526315789473684,95
17,0.75,0.28421052631578947,0.30526315789473685,-0.021052631578947368,95
19,0.25,0.42105263157894735,0.42105263157894735,0.0,19
19,0.5,0.42105263157894735,0.3684210526315789,0.05263157894736842,19
19,0.66,0.42105263157894735,0.42105263157894735,0.0,19
19,0.75,0.47368421052631576,0.42105263157894735,0.05263157894736842,19
20,0.25,0.8181818181818182,0.7575757575757576,0.06060606060606061,33
20,0.5,0.8484848484848485,0.8484848484848485,0.0,33
20,0.66,0.8484848484848485,0.8484848484848485,0.0,33
20,0.75,0.8484848484848485,0.8484848484848485,0.0,33
24,0.25,0.5416666666666666,0.5833333333333334,-0.041666666666666664,24
24,0.5,0.4583333333333333,0.6666666666666666,-0.20833333333333334,24
24,0.66,0.5833333333333334,0.625,-0.041666666666666664,24
24,0.75,0.5833333333333334,0.5416666666666666,0.041666666666666664,24
25,0.25,0.3795180722891566,0.29518072289156627,0.08433734939759036,166
25,0.5,0.3253012048192771,0.28313253012048195,0.04216867469879518,166
25,0.66,0.3313253012048193,0.3795180722891566,-0.04819277108433735,166
25,0.75,0.3433734939759036,0.463855421686747,-0.12048192771084337,166
26,0.25,0.7272727272727273,0.5454545454545454,0.18181818181818182,11
26,0.5,0.7272727272727273,0.6363636363636364,0.09090909090909091,11
26,0.66,0.7272727272727273,0.6363636363636364,0.09090909090909091,11
26,0.75,0.7272727272727273,0.7272727272727273,0.0,11
28,0.25,0.625,0.5625,0.0625,16
28,0.5,0.625,0.375,0.25,16
28,0.66,0.625,0.5625,0.0625,16
28,0.75,0.5625,0.5625,0.0,16
29,0.25,0.9090909090909091,0.8181818181818182,0.09090909090909091,11
29,0.5,0.8181818181818182,0.6363636363636364,0.18181818181818182,11
29,0.66,0.9090909090909091,0.9090909090909091,0.0,11
29,0.75,0.9090909090909091,0.9090909090909091,0.0,11
35,0.25,0.631578947368421,0.6842105263157895,-0.05263157894736842,19
35,0.5,0.631578947368421,0.6842105263157895,-0.05263157894736842,19
35,0.66,0.631578947368421,0.6842105263157895,-0.05263157894736842,19
35,0.75,0.6842105263157895,0.631578947368421,0.05263157894736842,19
36,0.25,0.3333333333333333,0.2222222222222222,0.1111111111111111,18
36,0.5,0.2777777777777778,0.2222222222222222,0.05555555555555555,18
36,0.66,0.2777777777777778,0.2222222222222222,0.05555555555555555,18
36,0.75,0.2777777777777778,0.2777777777777778,0.0,18
37,0.25,0.1891891891891892,0.1891891891891892,0.0,37
37,0.5,0.1891891891891892,0.21621621621621623,-0.02702702702702703,37
37,0.66,0.1891891891891892,0.24324324324324326,-0.05405405405405406,37
37,0.75,0.24324324324324326,0.24324324324324326,0.0,37
38,0.25,0.34615384615384615,0.3076923076923077,0.038461538461538464,26
38,0.5,0.3076923076923077,0.34615384615384615,-0.038461538461538464,26
38,0.66,0.3076923076923077,0.2692307692307692,0.038461538461538464,26
38,0.75,0.34615384615384615,0.34615384615384615,0.0,26
39,0.25,0.44642857142857145,0.35714285714285715,0.08928571428571429,56
39,0.5,0.5,0.44642857142857145,0.05357142857142857,56
39,0.66,0.5,0.48214285714285715,0.017857142857142856,56
39,0.75,0.5357142857142857,0.5357142857142857,0.0,56
51,0.25,0.2727272727272727,0.2727272727272727,0.0,11
51,0.5,0.2727272727272727,0.2727272727272727,0.0,11
51,0.66,0.2727272727272727,0.2727272727272727,0.0,11
51,0.75,0.2727272727272727,0.2727272727272727,0.0,11
52,0.25,0.12,0.04,0.08,25
52,0.5,0.12,0.12,0.0,25
52,0.66,0.12,0.08,0.04,25
52,0.75,0.12,0.08,0.04,25
62,0.25,0.30344827586206896,0.4413793103448276,-0.13793103448275862,145
62,0.5,0.42758620689655175,0.46206896551724136,-0.034482758620689655,145
62,0.66,0.4482758620689655,0.4482758620689655,0.0,145
62,0.75,0.45517241379310347,0.4482758620689655,0.006896551724137931,145
65,0.25,0.2,0.13333333333333333,0.06666666666666667,30
65,0.5,0.4666666666666667,0.43333333333333335,0.03333333333333333,30
65,0.66,0.5,0.6666666666666666,-0.16666666666666666,30
65,0.75,0.5666666666666667,0.7,-0.13333333333333333,30
68,0.25,0.3939393939393939,0.29292929292929293,0.10101010101010101,99
68,0.5,0.32323232323232326,0.36363636363636365,-0.04040404040404041,99
68,0.66,0.41414141414141414,0.42424242424242425,-0.010101010101010102,99
68,0.75,0.43434343434343436,0.47474747474747475,-0.04040404040404041,99
71,0.25,0.2222222222222222,0.2222222222222222,0.0,18
71,0.5,0.2777777777777778,0.3333333333333333,-0.05555555555555555,18
71,0.66,0.3333333333333333,0.3888888888888889,-0.05555555555555555,18
71,0.75,0.4444444444444444,0.3888888888888889,0.05555555555555555,18
85,0.25,0.41346153846153844,0.36538461538461536,0.04807692307692308,104
85,0.5,0.5288461538461539,0.23076923076923078,0.2980769230769231,104
85,0.66,0.5865384615384616,0.47115384615384615,0.11538461538461539,104
85,0.75,0.5769230769230769,0.5865384615384616,-0.009615384615384616,104
88,0.25,0.25,0.16666666666666666,0.08333333333333333,12
88,0.5,0.16666666666666666,0.16666666666666666,0.0,12
88,0.66,0.25,0.3333333333333333,-0.08333333333333333,12
88,0.75,0.25,0.3333333333333333,-0.08333333333333333,12
89,0.25,0.6666666666666666,0.26666666666666666,0.4,15
89,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,15
89,0.66,0.6666666666666666,0.6666666666666666,0.0,15
89,0.75,0.6666666666666666,0.6666666666666666,0.0,15
91,0.25,0.34782608695652173,0.2608695652173913,0.08695652173913043,23
91,0.5,0.34782608695652173,0.391304347826087,-0.043478260869565216,23
91,0.66,0.34782608695652173,0.391304347826087,-0.043478260869565216,23
91,0.75,0.34782608695652173,0.34782608695652173,0.0,23
92,0.25,0.2777777777777778,0.3333333333333333,-0.05555555555555555,36
92,0.5,0.3611111111111111,0.3055555555555556,0.05555555555555555,36
92,0.66,0.3055555555555556,0.3611111111111111,-0.05555555555555555,36
92,0.75,0.3611111111111111,0.3333333333333333,0.027777777777777776,36
96,0.25,0.4444444444444444,0.2962962962962963,0.14814814814814814,27
96,0.5,0.4074074074074074,0.4074074074074074,0.0,27
96,0.66,0.4074074074074074,0.5185185185185185,-0.1111111111111111,27
96,0.75,0.4074074074074074,0.48148148148148145,-0.07407407407407407,27
101,0.25,0.5,0.5625,-0.0625,16
101,0.5,0.5625,0.5625,0.0,16
101,0.66,0.5625,0.5625,0.0,16
101,0.75,0.5625,0.5625,0.0,16
