feature,spearman_rho,bootstrap_mean,ci_low,ci_high,users,valid_bootstrap_replicates
training_trajectories,0.009960868088531796,0.007854907770640377,-0.3478686370483743,0.35017027374916404,37,10000
destination_regions,0.039043509204883226,0.03932653121836686,-0.2981920035873272,0.36948297730855384,37,10000
destination_entropy_nats,-0.0866627154875033,-0.08380081875082271,-0.39083132252491243,0.2268887710661931,37,10000
no_prefix_analogue_q90_share,-0.07090307418275567,-0.07140188552332673,-0.38776714008331964,0.23291658690079925,37,10000
