analysis,stratum,ratio,full_grid_hit_r90,last_state_grid_hit_r90,paired_difference,users,cases
ambiguity_k10,high,0.25,0.31968086057863554,0.24817403460166182,0.07150682597697358,30,586
ambiguity_k10,high,0.5,0.22671594877826912,0.2157096777450916,0.011006271033177533,30,585
ambiguity_k10,high,0.66,0.25389734313625445,0.2442321378498294,0.009665205286425043,32,532
ambiguity_k10,high,0.75,0.24894480701602312,0.22082000812727146,0.028124798888751645,30,541
ambiguity_k10,low,0.25,0.4938828553501743,0.4639046455774982,0.02997820977267605,32,484
ambiguity_k10,low,0.5,0.5933188740900684,0.5236466918709524,0.06967218221911588,34,457
ambiguity_k10,low,0.66,0.626705979241174,0.6406197746563485,-0.013913795415174466,32,548
ambiguity_k10,low,0.75,0.690690509294307,0.6964642104515046,-0.005773701157197438,30,492
ambiguity_k10,medium,0.25,0.442266761690483,0.33234964679179746,0.10991711489868554,34,405
ambiguity_k10,medium,0.5,0.48741741706561786,0.4224722604402965,0.06494515662532134,35,433
ambiguity_k10,medium,0.66,0.40076422373635995,0.38997513647668447,0.010789087259675494,37,395
ambiguity_k10,medium,0.75,0.42316283032192986,0.41350436656019324,0.00965846376173665,35,442
