analogue_threshold_quantile,analogue_availability,method,ratio,users,trips,user_macro_hit_r90,trip_weighted_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m
0.8,no_close_train_analogue,recurrent,0.25,36,384,0.2914197929884204,0.23593750000000002,0.3025404170515109,0.373257494855792,57618.09186233169
0.8,no_close_train_analogue,recurrent,0.5,35,405,0.23001638882908385,0.21382716049382713,0.22557116343099964,0.3305749470133981,66789.4716880967
0.8,no_close_train_analogue,recurrent,0.66,37,406,0.245540228312687,0.23300492610837437,0.2563062684628258,0.35517486447258506,63551.40195339577
0.8,no_close_train_analogue,recurrent,0.75,37,406,0.26345300121623916,0.23842364532019703,0.25797096714321305,0.36620563519376664,22895.8442309772
0.8,no_close_train_analogue,current_position_only_personal_retrieval,0.25,36,384,0.12046218172379161,0.11979166666666667,0.14178950182562153,0.22615060831650094,56436.79293275393
0.8,no_close_train_analogue,current_position_only_personal_retrieval,0.5,35,405,0.15158741118401933,0.15555555555555556,0.1796335208559583,0.25747790071316434,68460.67543659866
0.8,no_close_train_analogue,current_position_only_personal_retrieval,0.66,37,406,0.20658070060770234,0.2019704433497537,0.22714030468037905,0.3280077630226414,62069.28913328329
0.8,no_close_train_analogue,current_position_only_personal_retrieval,0.75,37,406,0.24966503407617224,0.21428571428571427,0.28793498413857516,0.3913064492492368,26759.375612885142
0.8,no_close_train_analogue,geometric_retrieval,0.25,36,384,0.23748613930502474,0.1875,0.27363387100229203,0.37479204232300206,55431.631236954745
0.8,no_close_train_analogue,geometric_retrieval,0.5,35,405,0.2199727452329444,0.18271604938271604,0.20979054603747674,0.3057916201513329,67785.2477546613
0.8,no_close_train_analogue,geometric_retrieval,0.66,37,406,0.20814670908208885,0.16502463054187191,0.21819428234354785,0.32409111200857466,64234.329959614995
0.8,no_close_train_analogue,geometric_retrieval,0.75,37,406,0.20572417642563717,0.1625615763546798,0.20130822669623644,0.31855568743882806,31369.938513710622
0.8,no_close_train_analogue,last_observed_point,0.25,36,384,0.10472468564573828,0.0546875,0.1191477625688152,0.16514657894946852,56279.45189669853
0.8,no_close_train_analogue,last_observed_point,0.5,35,405,0.05605896266002413,0.04938271604938271,0.07987254295657657,0.1749689030317071,67276.42168545487
0.8,no_close_train_analogue,last_observed_point,0.66,37,406,0.06360550205652635,0.06403940886699508,0.12545989548986716,0.25513372150945435,62604.99625047149
0.8,no_close_train_analogue,last_observed_point,0.75,37,406,0.08120610983514209,0.09113300492610837,0.14365300907449416,0.28716867874658497,27381.03991429963
0.8,no_close_train_analogue,most_frequent_personal_destination,0.25,36,384,0.2867618996166467,0.2682291666666667,0.29350274410258925,0.3902330166584553,47111.94672037235
0.8,no_close_train_analogue,most_frequent_personal_destination,0.5,35,405,0.2611852922657266,0.26666666666666666,0.25515730865849057,0.3509890513979336,54020.25555540404
0.8,no_close_train_analogue,most_frequent_personal_destination,0.66,37,406,0.2743364032902157,0.26108374384236455,0.2653774098407407,0.34425139014249256,56531.55072931485
0.8,no_close_train_analogue,most_frequent_personal_destination,0.75,37,406,0.27018060644810493,0.2536945812807882,0.25879947525565294,0.3489304689624227,17931.446225456788
0.8,no_close_train_analogue,nearest_known_destination_to_current_point,0.25,36,384,0.10472468564573828,0.0546875,0.1191477625688152,0.16514657894946852,56279.45189669853
0.8,no_close_train_analogue,nearest_known_destination_to_current_point,0.5,35,405,0.05605896266002413,0.04938271604938271,0.07987254295657657,0.1749689030317071,67276.42168545487
0.8,no_close_train_analogue,nearest_known_destination_to_current_point,0.66,37,406,0.06360550205652635,0.06403940886699508,0.12545989548986716,0.25513372150945435,62604.99625047149
0.8,no_close_train_analogue,nearest_known_destination_to_current_point,0.75,37,406,0.08120610983514209,0.09113300492610837,0.14365300907449416,0.28716867874658497,27381.03991429963
0.8,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.25,36,384,0.3039519072736307,0.2526041666666667,0.3396112883599983,0.4361522889257667,54893.40771313781
0.8,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.5,35,405,0.22577158455088572,0.2074074074074074,0.22354403388149519,0.3232652416628533,67382.16149179153
0.8,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.66,37,406,0.23984970731561867,0.20689655172413793,0.24436353221261697,0.34851193291756866,61632.02784068915
0.8,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.75,37,406,0.2358187483567885,0.1921182266009852,0.2392263748471904,0.34479540238822043,28911.111375247714
0.8,no_close_train_analogue,tsmini,0.25,36,384,0.22686975629958084,0.16822916666666668,0.2591265436298976,0.3467015410152665,61429.334337599896
0.8,no_close_train_analogue,tsmini,0.5,35,405,0.18930833031227118,0.17185185185185184,0.20984908255993373,0.3099010990592133,76154.6259759169
0.8,no_close_train_analogue,tsmini,0.66,37,406,0.2021900455715321,0.17684729064039403,0.20622679012899336,0.3059635840308621,75948.65189980256
0.8,no_close_train_analogue,tsmini,0.75,37,406,0.19832921185325322,0.16748768472906403,0.19995124187150964,0.3084887044792705,43273.16658881593
0.8,train_analogue_present,recurrent,0.25,37,1091,0.42462234395874676,0.4201649862511458,0.4655858874547937,0.5878541612750144,1805.4996193695017
0.8,train_analogue_present,recurrent,0.5,37,1070,0.49477703065121365,0.4846728971962617,0.5451591135996512,0.6698153712614029,966.9695176148102
0.8,train_analogue_present,recurrent,0.66,37,1069,0.5141982048986761,0.5135640785781104,0.572280455915072,0.7075686445684145,818.3722243468767
0.8,train_analogue_present,recurrent,0.75,37,1069,0.5275185743979939,0.520112254443405,0.5880520197415285,0.7269950441638491,756.5807836052273
0.8,train_analogue_present,current_position_only_personal_retrieval,0.25,37,1091,0.3727929401226747,0.3620531622364803,0.42667098775745443,0.5572808133142747,1411.1227183540366
0.8,train_analogue_present,current_position_only_personal_retrieval,0.5,37,1070,0.4070071865005605,0.4009345794392523,0.462335267139668,0.6076554955717,1235.940087853888
0.8,train_analogue_present,current_position_only_personal_retrieval,0.66,37,1069,0.495893295027835,0.4855004677268475,0.5549853658749778,0.7005485292081729,490.23572987220246
0.8,train_analogue_present,current_position_only_personal_retrieval,0.75,37,1069,0.5142106165712825,0.5154349859681946,0.5846877726694301,0.72959838492424,386.14185406685425
0.8,train_analogue_present,geometric_retrieval,0.25,37,1091,0.4553069781576362,0.43538038496791936,0.5088053566375195,0.6219665365954679,805.3514701255223
0.8,train_analogue_present,geometric_retrieval,0.5,37,1070,0.471460230734508,0.4700934579439252,0.534259181239047,0.6902535030331574,553.8329214744638
0.8,train_analogue_present,geometric_retrieval,0.66,37,1069,0.5079323377787374,0.5126286248830683,0.5807513572324723,0.7448435941416599,340.29238353922966
0.8,train_analogue_present,geometric_retrieval,0.75,37,1069,0.5455318525218763,0.5463049579045838,0.6211809809661151,0.7817057555970149,306.9448963114317
0.8,train_analogue_present,last_observed_point,0.25,37,1091,0.09749713100534188,0.11274060494958753,0.11820300720926143,0.34130819943110663,3659.6462905974995
0.8,train_analogue_present,last_observed_point,0.5,37,1070,0.15803206991820185,0.17850467289719626,0.17956248387537554,0.46087021390903066,2214.5302012674697
0.8,train_analogue_present,last_observed_point,0.66,37,1069,0.23774395242545088,0.2628624883068288,0.285222196836941,0.5848114582045137,1390.7707269025725
0.8,train_analogue_present,last_observed_point,0.75,37,1069,0.3274429476219994,0.3376987839101964,0.39374653472235627,0.6763475227249104,1093.866675360564
0.8,train_analogue_present,most_frequent_personal_destination,0.25,37,1091,0.3708278422002799,0.3693858845096242,0.40491763816813625,0.5190469326534227,2484.0661158226903
0.8,train_analogue_present,most_frequent_personal_destination,0.5,37,1070,0.3749762299992396,0.3719626168224299,0.4079203377773858,0.5269100186144728,2529.8142376983023
0.8,train_analogue_present,most_frequent_personal_destination,0.66,37,1069,0.3728122445494132,0.37418147801683815,0.4087059632028245,0.5283051359231077,2224.315161592588
0.8,train_analogue_present,most_frequent_personal_destination,0.75,37,1069,0.38083015127857056,0.37698783910196443,0.41646193978738694,0.5373378871941995,2207.28305436954
0.8,train_analogue_present,nearest_known_destination_to_current_point,0.25,37,1091,0.09749713100534188,0.11274060494958753,0.11820300720926143,0.34130819943110663,3659.6462905974995
0.8,train_analogue_present,nearest_known_destination_to_current_point,0.5,37,1070,0.15803206991820185,0.17850467289719626,0.17956248387537554,0.46087021390903066,2214.5302012674697
0.8,train_analogue_present,nearest_known_destination_to_current_point,0.66,37,1069,0.23774395242545088,0.2628624883068288,0.285222196836941,0.5848114582045137,1390.7707269025725
0.8,train_analogue_present,nearest_known_destination_to_current_point,0.75,37,1069,0.3274429476219994,0.3376987839101964,0.39374653472235627,0.6763475227249104,1093.866675360564
0.8,train_analogue_present,probabilistic_grid_pattern_retrieval,0.25,37,1091,0.4799373583580051,0.4766269477543538,0.5392318362336725,0.642229930859243,657.2171663502833
0.8,train_analogue_present,probabilistic_grid_pattern_retrieval,0.5,37,1070,0.5084134445114118,0.508411214953271,0.5657064820483962,0.7010639878797362,488.9375604423351
0.8,train_analogue_present,probabilistic_grid_pattern_retrieval,0.66,37,1069,0.5308880318623845,0.5313376987839102,0.5934108327459069,0.7228256585692977,395.1332614470422
0.8,train_analogue_present,probabilistic_grid_pattern_retrieval,0.75,37,1069,0.5570944786562654,0.558465855940131,0.6201524902523456,0.7546277486798115,385.8888419597165
0.8,train_analogue_present,tsmini,0.25,37,1091,0.41242584437010205,0.3994500458295142,0.4628420915637565,0.5945315091792022,1652.8489538421106
0.8,train_analogue_present,tsmini,0.5,37,1070,0.4704272875008485,0.4635514018691589,0.524817774367417,0.67382224659855,1116.5433685748542
0.8,train_analogue_present,tsmini,0.66,37,1069,0.5043303300657094,0.5000935453695041,0.5707922452174297,0.7239753153404062,688.4542484811165
0.8,train_analogue_present,tsmini,0.75,37,1069,0.5285049579805929,0.5219831618334893,0.5963287273626172,0.7544100812120703,593.3733391304543
0.9,no_close_train_analogue,recurrent,0.25,30,197,0.1751820892143473,0.1604060913705584,0.1714414130543163,0.22398298617653456,115727.72530772327
0.9,no_close_train_analogue,recurrent,0.5,31,213,0.22036332421531665,0.1868544600938967,0.22288857674056917,0.31286762994542877,115089.41893385915
0.9,no_close_train_analogue,recurrent,0.66,29,212,0.17415975786665444,0.17264150943396223,0.20084284489456905,0.25968936714626367,115523.8075890142
0.9,no_close_train_analogue,recurrent,0.75,30,216,0.1974845871362899,0.1574074074074074,0.22768179733350014,0.2927566815136474,83964.83454624197
0.9,no_close_train_analogue,current_position_only_personal_retrieval,0.25,30,197,0.06526196171357462,0.08121827411167512,0.07298479443640735,0.1063693310467504,107667.90268385716
0.9,no_close_train_analogue,current_position_only_personal_retrieval,0.5,31,213,0.16078116486086128,0.16901408450704225,0.149173491488482,0.23972799285892263,106910.85854122281
0.9,no_close_train_analogue,current_position_only_personal_retrieval,0.66,29,212,0.15379852427266222,0.16981132075471697,0.17802881983916466,0.2378070923329544,126971.8787978151
0.9,no_close_train_analogue,current_position_only_personal_retrieval,0.75,30,216,0.1434173185488975,0.1574074074074074,0.212403546745652,0.28830896686159846,86687.4866636132
0.9,no_close_train_analogue,geometric_retrieval,0.25,30,197,0.12471689520076616,0.1218274111675127,0.13952232274812917,0.21229635874797165,115179.3618221367
0.9,no_close_train_analogue,geometric_retrieval,0.5,31,213,0.16003269342927787,0.16901408450704225,0.17357828762003336,0.24479191481089013,111366.56827126321
0.9,no_close_train_analogue,geometric_retrieval,0.66,29,212,0.10895935960591134,0.09433962264150944,0.129785851122058,0.1969109195402299,116810.71485772445
0.9,no_close_train_analogue,geometric_retrieval,0.75,30,216,0.14229614440140756,0.10648148148148148,0.16504746715273028,0.2365704032809296,97509.11566291844
0.9,no_close_train_analogue,last_observed_point,0.25,30,197,0.08082582582582583,0.06091370558375635,0.08728228228228228,0.12869086917474012,97776.31882504262
0.9,no_close_train_analogue,last_observed_point,0.5,31,213,0.05556157947049787,0.06103286384976526,0.07225535375440499,0.14952260474082107,91535.57441080321
0.9,no_close_train_analogue,last_observed_point,0.66,29,212,0.041584564860426936,0.05188679245283019,0.08660154500671742,0.15622215428249908,103722.40182206649
0.9,no_close_train_analogue,last_observed_point,0.75,30,216,0.05924286726918305,0.06481481481481481,0.12408109921267817,0.21624965190754664,86135.45577282384
0.9,no_close_train_analogue,most_frequent_personal_destination,0.25,30,197,0.20118590408912987,0.2182741116751269,0.19052282165185389,0.25808725244209113,119701.73336037184
0.9,no_close_train_analogue,most_frequent_personal_destination,0.5,31,213,0.26596820057446247,0.24413145539906103,0.26199994660620846,0.32843852594801365,116505.10682101706
0.9,no_close_train_analogue,most_frequent_personal_destination,0.66,29,212,0.19906872342217172,0.2028301886792453,0.23070528609321714,0.27644414972001174,124625.8504669452
0.9,no_close_train_analogue,most_frequent_personal_destination,0.75,30,216,0.2110017579599623,0.17592592592592593,0.243709790667995,0.2905574021208696,120695.29964623229
0.9,no_close_train_analogue,nearest_known_destination_to_current_point,0.25,30,197,0.08082582582582583,0.06091370558375635,0.08728228228228228,0.12869086917474012,97776.31882504262
0.9,no_close_train_analogue,nearest_known_destination_to_current_point,0.5,31,213,0.05556157947049787,0.06103286384976526,0.07225535375440499,0.14952260474082107,91535.57441080321
0.9,no_close_train_analogue,nearest_known_destination_to_current_point,0.66,29,212,0.041584564860426936,0.05188679245283019,0.08660154500671742,0.15622215428249908,103722.40182206649
0.9,no_close_train_analogue,nearest_known_destination_to_current_point,0.75,30,216,0.05924286726918305,0.06481481481481481,0.12408109921267817,0.21624965190754664,86135.45577282384
0.9,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.25,30,197,0.16507413652574943,0.17766497461928935,0.18185573379121764,0.2489868918901177,114006.34447765989
0.9,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.5,31,213,0.14600299552861226,0.1596244131455399,0.1773882769138936,0.23838685034130952,109282.9654921531
0.9,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.66,29,212,0.14562939455180834,0.13679245283018868,0.17384504862953137,0.23968175024209507,113407.36786703237
0.9,no_close_train_analogue,probabilistic_grid_pattern_retrieval,0.75,30,216,0.16839042049568365,0.125,0.19770739981266294,0.26945817827396773,93541.33158475888
0.9,no_close_train_analogue,tsmini,0.25,30,197,0.10570239896046349,0.10964467005076141,0.12059584078938919,0.18462266059040253,132146.39780007687
0.9,no_close_train_analogue,tsmini,0.5,31,213,0.15326578334168467,0.14084507042253522,0.17124278841546392,0.2474757332062835,129139.40826825527
0.9,no_close_train_analogue,tsmini,0.66,29,212,0.1296225948381121,0.1150943396226415,0.15644251820975957,0.2179378236705823,146444.78715973365
0.9,no_close_train_analogue,tsmini,0.75,30,216,0.14845367205893523,0.10833333333333334,0.1739466975519607,0.24918765347712718,125222.77553945569
0.9,train_analogue_present,recurrent,0.25,37,1278,0.4049584841515017,0.40485133020344294,0.444515105212079,0.5596980224416654,1986.4472768132644
0.9,train_analogue_present,recurrent,0.5,37,1262,0.45672933436345414,0.44801901743264666,0.5062418024886679,0.62130360292565,1180.1585716320121
0.9,train_analogue_present,recurrent,0.66,37,1263,0.48476473599590697,0.4806017418844022,0.5410212658104109,0.6636868591094683,1134.7046186700152
0.9,train_analogue_present,recurrent,0.75,37,1259,0.49316512386930855,0.4915011914217633,0.5504923753752831,0.6787296096841618,909.6399481820282
0.9,train_analogue_present,current_position_only_personal_retrieval,0.25,37,1278,0.3423320894069259,0.33255086071987483,0.3951308976148041,0.5200663702083415,1576.9659691490474
0.9,train_analogue_present,current_position_only_personal_retrieval,0.5,37,1262,0.369856418589719,0.3613312202852615,0.4267022331711845,0.5633542785890568,1840.596102451211
0.9,train_analogue_present,current_position_only_personal_retrieval,0.66,37,1263,0.4662143652533703,0.447347585114806,0.5249063061546819,0.6597796875450789,882.8894497391917
0.9,train_analogue_present,current_position_only_personal_retrieval,0.75,37,1259,0.4885994585419387,0.4797458300238284,0.5560340239439671,0.686740950047232,600.5727608039886
0.9,train_analogue_present,geometric_retrieval,0.25,37,1278,0.4306606712562153,0.40923317683881066,0.4852794393822699,0.596187159069073,951.8497687654178
0.9,train_analogue_present,geometric_retrieval,0.5,37,1262,0.4393681639806583,0.4286846275752773,0.5006747561663136,0.6437623316110314,785.8588129254083
0.9,train_analogue_present,geometric_retrieval,0.66,37,1263,0.4789309550847457,0.47110055423594616,0.5470116427387478,0.6949269197041227,688.2764715784983
0.9,train_analogue_present,geometric_retrieval,0.75,37,1259,0.5060814816316072,0.4980142970611596,0.5742946522181522,0.7204384541250504,581.0636574851995
0.9,train_analogue_present,last_observed_point,0.25,37,1278,0.09193574176417657,0.10328638497652583,0.11310432793388338,0.31314570909578204,3841.7782086673324
0.9,train_analogue_present,last_observed_point,0.5,37,1262,0.1419253241781722,0.15689381933438987,0.1656588169725878,0.4185860682265763,2525.4463351121144
0.9,train_analogue_present,last_observed_point,0.66,37,1263,0.22241876478310077,0.23436262866191607,0.2704630375558886,0.5384919112490765,1770.990943491178
0.9,train_analogue_present,last_observed_point,0.75,37,1259,0.30222556553680174,0.3050039714058777,0.3685269349075563,0.6248291273722333,1364.5312838106042
0.9,train_analogue_present,most_frequent_personal_destination,0.25,37,1278,0.3580405545582906,0.3622848200312989,0.38883963268425287,0.5026868492942502,2842.9591711264266
0.9,train_analogue_present,most_frequent_personal_destination,0.5,37,1262,0.35729524031392507,0.35974643423137875,0.3876018730048343,0.5007349214596033,2537.0953581854283
0.9,train_analogue_present,most_frequent_personal_destination,0.66,37,1263,0.3615596536995216,0.3665874901029295,0.39244288114630865,0.5055928715514201,2230.079943895098
0.9,train_analogue_present,most_frequent_personal_destination,0.75,37,1259,0.3669368567605259,0.37172359015091344,0.39748438314549633,0.5117105449280808,2121.8834441053505
0.9,train_analogue_present,nearest_known_destination_to_current_point,0.25,37,1278,0.09193574176417657,0.10328638497652583,0.11310432793388338,0.31314570909578204,3841.7782086673324
0.9,train_analogue_present,nearest_known_destination_to_current_point,0.5,37,1262,0.1419253241781722,0.15689381933438987,0.1656588169725878,0.4185860682265763,2525.4463351121144
0.9,train_analogue_present,nearest_known_destination_to_current_point,0.66,37,1263,0.22241876478310077,0.23436262866191607,0.2704630375558886,0.5384919112490765,1770.990943491178
0.9,train_analogue_present,nearest_known_destination_to_current_point,0.75,37,1259,0.30222556553680174,0.3050039714058777,0.3685269349075563,0.6248291273722333,1364.5312838106042
0.9,train_analogue_present,probabilistic_grid_pattern_retrieval,0.25,37,1278,0.45707679775672805,0.45539906103286387,0.5176441841481025,0.6194623311907368,770.0118819655121
0.9,train_analogue_present,probabilistic_grid_pattern_retrieval,0.5,37,1262,0.4737079864132708,0.4706814580031696,0.530526600394597,0.6583889392462243,618.4990421770435
0.9,train_analogue_present,probabilistic_grid_pattern_retrieval,0.66,37,1263,0.5000611124580804,0.4932699920823436,0.5589642446241591,0.6789152800118862,635.9164204602487
0.9,train_analogue_present,probabilistic_grid_pattern_retrieval,0.75,37,1259,0.5156733287676001,0.5146942017474185,0.5754308804304898,0.7005956674587616,518.6955953548826
0.9,train_analogue_present,tsmini,0.25,37,1278,0.3874718902569791,0.37464788732394366,0.4386154788631538,0.5635004880834539,1792.9405094756485
0.9,train_analogue_present,tsmini,0.5,37,1262,0.4325653744918971,0.424405705229794,0.4885291797700562,0.6253632294016203,1492.437834683345
0.9,train_analogue_present,tsmini,0.66,37,1263,0.47459443417459024,0.46080760095011875,0.53711536062902,0.6754890556727592,1180.5260431164447
0.9,train_analogue_present,tsmini,0.75,37,1259,0.4870731965298542,0.47863383637807777,0.5513213171284027,0.6950571783861538,837.4904773830724
0.95,no_close_train_analogue,recurrent,0.25,25,125,0.12993333333333335,0.1456,0.1376666666666667,0.1683047619047619,190096.51175447647
0.95,no_close_train_analogue,recurrent,0.5,24,122,0.1635309829059829,0.119672131147541,0.18108440170940174,0.26637286324786325,194026.6209238877
0.95,no_close_train_analogue,recurrent,0.66,24,134,0.14677566093326963,0.1373134328358209,0.17358045336306205,0.2322485445311532,208932.8902322969
0.95,no_close_train_analogue,recurrent,0.75,24,132,0.16709327387588258,0.17272727272727273,0.18278130806391676,0.26346506874767744,202216.76377740604
0.95,no_close_train_analogue,current_position_only_personal_retrieval,0.25,25,125,0.021333333333333333,0.056,0.021333333333333333,0.042666666666666665,143625.2016859001
0.95,no_close_train_analogue,current_position_only_personal_retrieval,0.5,24,122,0.09139957264957266,0.07377049180327869,0.1094551282051282,0.1782051282051282,177862.89053416695
0.95,no_close_train_analogue,current_position_only_personal_retrieval,0.66,24,134,0.13644605696236128,0.11940298507462686,0.179047552688857,0.23780823644954077,175868.6552364484
0.95,no_close_train_analogue,current_position_only_personal_retrieval,0.75,24,132,0.17005481233742104,0.17424242424242425,0.2093877740616871,0.3119091415830546,162323.2024719613
0.95,no_close_train_analogue,geometric_retrieval,0.25,25,125,0.1519047619047619,0.128,0.1569047619047619,0.23457142857142854,167746.40320865906
0.95,no_close_train_analogue,geometric_retrieval,0.5,24,122,0.13306623931623932,0.10655737704918032,0.14155982905982906,0.22435897435897437,160972.91529722535
0.95,no_close_train_analogue,geometric_retrieval,0.66,24,134,0.10566156367786801,0.08208955223880597,0.11926428040558475,0.1782539018952062,154145.11705967717
0.95,no_close_train_analogue,geometric_retrieval,0.75,24,132,0.10418338907469343,0.09848484848484848,0.11059364548494983,0.16937569676700112,185887.59951221998
0.95,no_close_train_analogue,last_observed_point,0.25,25,125,0.055999999999999994,0.04,0.055999999999999994,0.08995238095238095,133508.1515409084
0.95,no_close_train_analogue,last_observed_point,0.5,24,122,0.03819444444444444,0.02459016393442623,0.04652777777777778,0.10902777777777778,139567.208806364
