destination_popularity_stratum,method,ratio,users,trips,user_macro_hit_r90,trip_weighted_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m
other_repeated,bigru,0.25,30,386,0.3553461847426042,0.3637305699481865,0.3579479163443358,0.4617452838319206,3195.4792207246687
other_repeated,bigru,0.5,30,386,0.4815425814358039,0.4709844559585492,0.4825606189538415,0.6004032346714573,1954.323239961416
other_repeated,bigru,0.66,30,386,0.5279670209727755,0.5259067357512953,0.5269752545692443,0.6356204707838339,1562.5995716893012
other_repeated,bigru,0.75,30,386,0.5207901390311876,0.5196891191709845,0.5194062157649114,0.637894748793406,1494.9176419902697
other_repeated,current_position_only_personal_retrieval,0.25,30,386,0.4648948376266151,0.4067357512953368,0.4684662661980436,0.5694538484627999,1673.233251996341
other_repeated,current_position_only_personal_retrieval,0.5,30,386,0.449518183400856,0.4818652849740932,0.450533589563321,0.5859783552030995,1771.370076045491
other_repeated,current_position_only_personal_retrieval,0.66,30,386,0.6216114976952573,0.6347150259067358,0.6306302567140164,0.7408226016074482,941.5144445638828
other_repeated,current_position_only_personal_retrieval,0.75,30,386,0.6788642329419184,0.7098445595854922,0.6854748771996214,0.7660288111055374,561.7680086663106
other_repeated,geometric_retrieval,0.25,30,386,0.5984869646906091,0.5699481865284974,0.5950057237093681,0.6875447104874856,842.8747482437502
other_repeated,geometric_retrieval,0.5,30,386,0.5508413208109498,0.6269430051813472,0.5515267464963756,0.6751917278515746,838.1546808101514
other_repeated,geometric_retrieval,0.66,30,386,0.6364740556876108,0.6735751295336787,0.6431118623254175,0.7528080075650408,548.3304723231892
other_repeated,geometric_retrieval,0.75,30,386,0.682226454870317,0.7124352331606217,0.686903477194398,0.7979984793315996,410.10736436363135
other_repeated,last_observed_point,0.25,30,386,0.1161116747465852,0.1088082901554404,0.1202783414132518,0.3513161260923408,3926.626443570171
other_repeated,last_observed_point,0.5,30,386,0.2163978127229406,0.2409326424870466,0.2265168603419882,0.4715883443425003,2687.9089496560164
other_repeated,last_observed_point,0.66,30,386,0.4397536276596379,0.3756476683937824,0.4526504530564633,0.6664646447494913,1160.79810279068
other_repeated,last_observed_point,0.75,30,386,0.5348182768259494,0.4870466321243523,0.5382146353693668,0.7772288056974759,675.7633769085173
other_repeated,most_frequent_personal_destination,0.25,30,386,0.0,0.0,0.0,0.1710460584101888,5130.233807304923
other_repeated,most_frequent_personal_destination,0.5,30,386,0.0,0.0,0.0,0.1710460584101888,5130.233807304923
other_repeated,most_frequent_personal_destination,0.66,30,386,0.0,0.0,0.0,0.1710460584101888,5130.233807304923
other_repeated,most_frequent_personal_destination,0.75,30,386,0.0,0.0,0.0,0.1710460584101888,5130.233807304923
other_repeated,nearest_known_destination_to_current_point,0.25,30,386,0.1161116747465852,0.1088082901554404,0.1202783414132518,0.3513161260923408,3926.626443570171
other_repeated,nearest_known_destination_to_current_point,0.5,30,386,0.2163978127229406,0.2409326424870466,0.2265168603419882,0.4715883443425003,2687.9089496560164
other_repeated,nearest_known_destination_to_current_point,0.66,30,386,0.4397536276596379,0.3756476683937824,0.4526504530564633,0.6664646447494913,1160.79810279068
other_repeated,nearest_known_destination_to_current_point,0.75,30,386,0.5348182768259494,0.4870466321243523,0.5382146353693668,0.7772288056974759,675.7633769085173
other_repeated,probabilistic_grid_pattern_retrieval,0.25,30,386,0.4758843725659581,0.5207253886010362,0.4741888458704315,0.5918989346946508,1446.6037618461698
other_repeated,probabilistic_grid_pattern_retrieval,0.5,30,386,0.5407098566513527,0.6010362694300518,0.545982117070672,0.6452245297801564,2171.447185581901
other_repeated,probabilistic_grid_pattern_retrieval,0.66,30,386,0.5641429513344476,0.6502590673575129,0.5646533069918619,0.6475266720822986,1290.472166638023
other_repeated,probabilistic_grid_pattern_retrieval,0.75,30,386,0.6129807942483774,0.6813471502590673,0.6125387689534109,0.7049440996627697,1090.963163249972
other_repeated,tsmini,0.25,30,386,0.464483937027735,0.4844559585492228,0.4626982227420207,0.6263129692368822,1495.2475119418148
other_repeated,tsmini,0.5,30,386,0.5415125095492743,0.5854922279792746,0.5406217532467533,0.6726107098712598,1628.6827243825685
other_repeated,tsmini,0.66,30,386,0.6024117828983558,0.6378238341968913,0.6069481974641823,0.7180347116178319,781.5697179678253
other_repeated,tsmini,0.75,30,386,0.6474510534222812,0.6585492227979275,0.651918840537127,0.7660093959630406,585.5850955763599
outside_training_r90,bigru,0.25,37,578,0.0,0.0,0.1003041418636773,0.2773850211473727,5981.219610721723
outside_training_r90,bigru,0.5,37,578,0.0,0.0,0.1221014304363663,0.3084269230410356,5737.019896488971
outside_training_r90,bigru,0.66,37,578,0.0,0.0,0.1357469488543052,0.3376283564390925,5589.819321845639
outside_training_r90,bigru,0.75,37,578,0.0,0.0,0.1417859393272579,0.3513644045050039,5504.098971818082
outside_training_r90,current_position_only_personal_retrieval,0.25,37,578,0.0,0.0,0.1181344407947327,0.2754456852278616,6394.013043297034
outside_training_r90,current_position_only_personal_retrieval,0.5,37,578,0.0,0.0,0.1387573408779791,0.3051623795033377,5952.2159490004315
outside_training_r90,current_position_only_personal_retrieval,0.66,37,578,0.0,0.0,0.1339454060621029,0.342754357952228,4733.441659494961
outside_training_r90,current_position_only_personal_retrieval,0.75,37,578,0.0,0.0,0.1626750050818538,0.3676523432136074,3949.652717386464
outside_training_r90,geometric_retrieval,0.25,37,578,0.0,0.0,0.1288919645250536,0.3012058458757369,5764.321041978925
outside_training_r90,geometric_retrieval,0.5,37,578,0.0,0.0,0.1380631323812886,0.3307177287129049,5611.741331076498
outside_training_r90,geometric_retrieval,0.66,37,578,0.0,0.0,0.1486862804927871,0.3696932079974717,5072.066510958958
outside_training_r90,geometric_retrieval,0.75,37,578,0.0,0.0,0.1512731793315982,0.3699804059795914,4997.706150496418
outside_training_r90,last_observed_point,0.25,37,578,0.0,0.0,0.0499742742317783,0.203504099578066,5500.107192677175
outside_training_r90,last_observed_point,0.5,37,578,0.0,0.0,0.0546058836362981,0.275193446913295,4541.067901912422
outside_training_r90,last_observed_point,0.66,37,578,0.0,0.0,0.1129046739537266,0.3547910387910835,4347.337083611261
outside_training_r90,last_observed_point,0.75,37,578,0.0,0.0,0.153502455452505,0.3996687958935263,4174.748394290811
outside_training_r90,most_frequent_personal_destination,0.25,37,578,0.0,0.0,0.0882902661813191,0.2230477144450517,7172.89882034092
outside_training_r90,most_frequent_personal_destination,0.5,37,578,0.0,0.0,0.0882902661813191,0.2230477144450517,7172.89882034092
outside_training_r90,most_frequent_personal_destination,0.66,37,578,0.0,0.0,0.0882902661813191,0.2230477144450517,7172.89882034092
outside_training_r90,most_frequent_personal_destination,0.75,37,578,0.0,0.0,0.0882902661813191,0.2230477144450517,7172.89882034092
outside_training_r90,nearest_known_destination_to_current_point,0.25,37,578,0.0,0.0,0.0499742742317783,0.203504099578066,5500.107192677175
outside_training_r90,nearest_known_destination_to_current_point,0.5,37,578,0.0,0.0,0.0546058836362981,0.275193446913295,4541.067901912422
outside_training_r90,nearest_known_destination_to_current_point,0.66,37,578,0.0,0.0,0.1129046739537266,0.3547910387910835,4347.337083611261
outside_training_r90,nearest_known_destination_to_current_point,0.75,37,578,0.0,0.0,0.153502455452505,0.3996687958935263,4174.748394290811
outside_training_r90,probabilistic_grid_pattern_retrieval,0.25,37,578,0.0,0.0,0.1358874158453758,0.2991645793682296,6279.559476722646
outside_training_r90,probabilistic_grid_pattern_retrieval,0.5,37,578,0.0,0.0,0.1341065413836471,0.3299512692581731,5629.098326927936
