user_id,ratio,full_grid_hit_r90,last_state_grid_hit_r90,paired_effect,cases
0,0.25,0.525,0.325,0.2,40
0,0.5,0.425,0.25,0.175,40
0,0.66,0.45,0.375,0.075,40
0,0.75,0.45,0.4,0.05,40
16,0.25,0.4166666666666667,0.25,0.1666666666666666,12
16,0.5,0.25,0.4166666666666667,-0.1666666666666666,12
16,0.66,0.5,0.5,0.0,12
16,0.75,0.3333333333333333,0.6666666666666666,-0.3333333333333333,12
17,0.25,0.2947368421052631,0.2526315789473684,0.0421052631578947,95
17,0.5,0.2736842105263158,0.2631578947368421,0.0105263157894736,95
17,0.66,0.2631578947368421,0.2736842105263158,-0.0105263157894736,95
17,0.75,0.2842105263157894,0.3052631578947368,-0.0210526315789473,95
19,0.25,0.4210526315789473,0.4210526315789473,0.0,19
19,0.5,0.4210526315789473,0.3684210526315789,0.0526315789473684,19
19,0.66,0.4210526315789473,0.4210526315789473,0.0,19
19,0.75,0.4736842105263157,0.4210526315789473,0.0526315789473684,19
20,0.25,0.8181818181818182,0.7575757575757576,0.0606060606060606,33
20,0.5,0.8484848484848485,0.8484848484848485,0.0,33
20,0.66,0.8484848484848485,0.8484848484848485,0.0,33
20,0.75,0.8484848484848485,0.8484848484848485,0.0,33
24,0.25,0.5416666666666666,0.5833333333333334,-0.0416666666666666,24
24,0.5,0.4583333333333333,0.6666666666666666,-0.2083333333333333,24
24,0.66,0.5833333333333334,0.625,-0.0416666666666666,24
24,0.75,0.5833333333333334,0.5416666666666666,0.0416666666666666,24
25,0.25,0.3795180722891566,0.2951807228915662,0.0843373493975903,166
25,0.5,0.3253012048192771,0.2831325301204819,0.0421686746987951,166
25,0.66,0.3313253012048193,0.3795180722891566,-0.0481927710843373,166
25,0.75,0.3433734939759036,0.463855421686747,-0.1204819277108433,166
26,0.25,0.7272727272727273,0.5454545454545454,0.1818181818181818,11
26,0.5,0.7272727272727273,0.6363636363636364,0.0909090909090909,11
26,0.66,0.7272727272727273,0.6363636363636364,0.0909090909090909,11
26,0.75,0.7272727272727273,0.7272727272727273,0.0,11
28,0.25,0.625,0.5625,0.0625,16
28,0.5,0.625,0.375,0.25,16
28,0.66,0.625,0.5625,0.0625,16
28,0.75,0.5625,0.5625,0.0,16
29,0.25,0.9090909090909092,0.8181818181818182,0.0909090909090909,11
29,0.5,0.8181818181818182,0.6363636363636364,0.1818181818181818,11
29,0.66,0.9090909090909092,0.9090909090909092,0.0,11
29,0.75,0.9090909090909092,0.9090909090909092,0.0,11
35,0.25,0.631578947368421,0.6842105263157895,-0.0526315789473684,19
35,0.5,0.631578947368421,0.6842105263157895,-0.0526315789473684,19
35,0.66,0.631578947368421,0.6842105263157895,-0.0526315789473684,19
35,0.75,0.6842105263157895,0.631578947368421,0.0526315789473684,19
36,0.25,0.3333333333333333,0.2222222222222222,0.1111111111111111,18
36,0.5,0.2777777777777778,0.2222222222222222,0.0555555555555555,18
36,0.66,0.2777777777777778,0.2222222222222222,0.0555555555555555,18
36,0.75,0.2777777777777778,0.2777777777777778,0.0,18
37,0.25,0.1891891891891892,0.1891891891891892,0.0,37
37,0.5,0.1891891891891892,0.2162162162162162,-0.027027027027027,37
37,0.66,0.1891891891891892,0.2432432432432432,-0.054054054054054,37
37,0.75,0.2432432432432432,0.2432432432432432,0.0,37
38,0.25,0.3461538461538461,0.3076923076923077,0.0384615384615384,26
38,0.5,0.3076923076923077,0.3461538461538461,-0.0384615384615384,26
38,0.66,0.3076923076923077,0.2692307692307692,0.0384615384615384,26
38,0.75,0.3461538461538461,0.3461538461538461,0.0,26
39,0.25,0.4464285714285714,0.3571428571428571,0.0892857142857142,56
39,0.5,0.5,0.4464285714285714,0.0535714285714285,56
39,0.66,0.5,0.4821428571428571,0.0178571428571428,56
39,0.75,0.5357142857142857,0.5357142857142857,0.0,56
51,0.25,0.2727272727272727,0.2727272727272727,0.0,11
51,0.5,0.2727272727272727,0.2727272727272727,0.0,11
51,0.66,0.2727272727272727,0.2727272727272727,0.0,11
51,0.75,0.2727272727272727,0.2727272727272727,0.0,11
52,0.25,0.12,0.04,0.08,25
52,0.5,0.12,0.12,0.0,25
52,0.66,0.12,0.08,0.04,25
52,0.75,0.12,0.08,0.04,25
62,0.25,0.3034482758620689,0.4413793103448276,-0.1379310344827586,145
62,0.5,0.4275862068965517,0.4620689655172413,-0.0344827586206896,145
62,0.66,0.4482758620689655,0.4482758620689655,0.0,145
62,0.75,0.4551724137931034,0.4482758620689655,0.0068965517241379,145
65,0.25,0.2,0.1333333333333333,0.0666666666666666,30
65,0.5,0.4666666666666667,0.4333333333333333,0.0333333333333333,30
65,0.66,0.5,0.6666666666666666,-0.1666666666666666,30
65,0.75,0.5666666666666667,0.7,-0.1333333333333333,30
68,0.25,0.3939393939393939,0.2929292929292929,0.101010101010101,99
68,0.5,0.3232323232323232,0.3636363636363636,-0.0404040404040404,99
68,0.66,0.4141414141414141,0.4242424242424242,-0.0101010101010101,99
68,0.75,0.4343434343434343,0.4747474747474747,-0.0404040404040404,99
71,0.25,0.2222222222222222,0.2222222222222222,0.0,18
71,0.5,0.2777777777777778,0.3333333333333333,-0.0555555555555555,18
71,0.66,0.3333333333333333,0.3888888888888889,-0.0555555555555555,18
71,0.75,0.4444444444444444,0.3888888888888889,0.0555555555555555,18
85,0.25,0.4134615384615384,0.3653846153846153,0.048076923076923,104
85,0.5,0.5288461538461539,0.2307692307692307,0.2980769230769231,104
85,0.66,0.5865384615384616,0.4711538461538461,0.1153846153846153,104
85,0.75,0.5769230769230769,0.5865384615384616,-0.0096153846153846,104
88,0.25,0.25,0.1666666666666666,0.0833333333333333,12
88,0.5,0.1666666666666666,0.1666666666666666,0.0,12
88,0.66,0.25,0.3333333333333333,-0.0833333333333333,12
88,0.75,0.25,0.3333333333333333,-0.0833333333333333,12
89,0.25,0.6666666666666666,0.2666666666666666,0.4,15
89,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,15
89,0.66,0.6666666666666666,0.6666666666666666,0.0,15
89,0.75,0.6666666666666666,0.6666666666666666,0.0,15
91,0.25,0.3478260869565217,0.2608695652173913,0.0869565217391304,23
91,0.5,0.3478260869565217,0.391304347826087,-0.0434782608695652,23
91,0.66,0.3478260869565217,0.391304347826087,-0.0434782608695652,23
91,0.75,0.3478260869565217,0.3478260869565217,0.0,23
92,0.25,0.2777777777777778,0.3333333333333333,-0.0555555555555555,36
92,0.5,0.3611111111111111,0.3055555555555556,0.0555555555555555,36
92,0.66,0.3055555555555556,0.3611111111111111,-0.0555555555555555,36
92,0.75,0.3611111111111111,0.3333333333333333,0.0277777777777777,36
96,0.25,0.4444444444444444,0.2962962962962963,0.1481481481481481,27
96,0.5,0.4074074074074074,0.4074074074074074,0.0,27
96,0.66,0.4074074074074074,0.5185185185185185,-0.1111111111111111,27
96,0.75,0.4074074074074074,0.4814814814814814,-0.074074074074074,27
101,0.25,0.5,0.5625,-0.0625,16
101,0.5,0.5625,0.5625,0.0,16
101,0.66,0.5625,0.5625,0.0,16
101,0.75,0.5625,0.5625,0.0,16
