analysis,stratum,ratio,observed_difference,bootstrap_mean,ci_low,ci_high,users,cases
ambiguity_k10,high,0.25,0.0715068259769735,0.0715631352032085,-0.0208789528115577,0.1699937002023846,30,586
ambiguity_k10,high,0.5,0.0110062710331775,0.0109233462038594,-0.0593817790176213,0.0783205305617051,30,585
ambiguity_k10,high,0.66,0.009665205286425,0.0091708049510133,-0.1080477398525533,0.1317231460086173,32,532
ambiguity_k10,high,0.75,0.0281247988887516,0.028042917612514,-0.0478167322984708,0.1191210287946532,30,541
ambiguity_k10,low,0.25,0.029978209772676,0.0296947468375384,-0.0143544672833921,0.0776633102545485,32,484
ambiguity_k10,low,0.5,0.0696721822191158,0.0699775941275969,0.0018614111759943,0.1554788007537332,34,457
ambiguity_k10,low,0.66,-0.0139137954151744,-0.0138328780979166,-0.044714378367825,0.0118973096321018,32,548
ambiguity_k10,low,0.75,-0.0057737011571974,-0.0057980154955959,-0.0295311799903158,0.0202271763504727,30,492
ambiguity_k10,medium,0.25,0.1099171148986855,0.1094540657577621,0.0277272914513398,0.2058164269125041,34,405
ambiguity_k10,medium,0.5,0.0649451566253213,0.064766505196725,-0.0147184892753747,0.1432764588934286,35,433
ambiguity_k10,medium,0.66,0.0107890872596754,0.0109138648429824,-0.0435828698328698,0.0685613241863241,37,395
ambiguity_k10,medium,0.75,0.0096584637617366,0.0094576351577559,-0.0304013261174915,0.0588936764406412,35,442
