method,hit_r90_25_pct,hit_r90_50_pct,hit_r90_66_pct,hit_r90_75_pct,mean_pct,mean_ci_low_pct,mean_ci_high_pct
Probabilistic grid-pattern retrieval,42.27376542218276,43.410573775437896,45.554351951867545,46.800463235028474,44.50978859612917,38.09144429010838,51.16014760583544
Last-state grid ablation,36.41760952449067,38.50060926013066,46.14144480506192,48.17790126335295,42.30939121325905,36.20774331542093,48.54204020999995
Recurrent destination classifier,38.049560429513654,42.471365050117775,44.568469666231366,45.23546867741319,42.581215955819,36.37674487629199,49.01992936839474
Geometric prefix retrieval,39.58968401151444,40.4568454952814,42.81692689808548,45.28318243815414,42.03665971075887,35.77861077801352,48.462551096950975
TSMini embedding retrieval,35.61165261847782,39.52747381618764,42.71184949703814,43.77136325475588,40.405584796614875,34.324760664844206,46.82917967006302
Current-position-only retrieval,30.991860054072944,34.694585841012,42.49811730613994,44.275767829864535,38.11508275777235,32.554280233586844,43.90196698628869
Most-frequent destination,33.94504466538117,33.94504466538117,33.94504466538117,33.94504466538117,33.94504466538117,27.456097453302142,40.542235240445294
Nearest known destination,8.97291268517353,13.415020143975704,19.413119628559052,26.644456940244787,17.111377349488265,13.287395830955754,21.05283809702004
