display_name,method,d200_pct,d1km_pct,mean_user_median_m,mean_user_p90_km
Current-position-only retrieval,current_position_only_personal_retrieval,43.67619878156373,56.20627356814786,1596.9707923742353,33.18914411734459
Geometric prefix retrieval,geometric_retrieval,47.710247122056415,60.8861081018119,1237.2175541453425,36.69755933330482
Most-frequent destination,most_frequent_personal_destination,37.107732942973385,47.77241768424483,3184.366407627081,95.51191220872964
Nearest known destination,nearest_known_destination_to_current_point,21.06714176512557,43.64891022676923,2636.2987811370936,18.173910484613646
Probabilistic grid-pattern retrieval,probabilistic_grid_pattern_retrieval,50.10868437694273,61.410318226294955,946.2894580975325,28.458926065867622
Recurrent destination classifier,recurrent,47.43480733469094,58.856826797671516,1557.2961583229694,39.2734648897179
TSMini embedding retrieval,tsmini,45.78412866389764,58.79546421477945,1778.875495482992,53.51926450325813
