analysis,metric,quantity,first_method,second_method,ratio_or_change,observed,ci_low,ci_high
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,tsmini,0.50,3.883099959250258,0.6101482304192103,7.222730995594728
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,tsmini,0.66,2.842502454829404,0.1655546126838775,5.415204710522761
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,tsmini,0.75,3.0290999802725924,0.07662895376111106,5.769582315825506
canonical_cross_method,hit_r90_all,mean_difference,probabilistic_grid_pattern_retrieval,tsmini,mean,4.1042037995143,1.630447452903866,6.6503563829925865
canonical_cross_method,hit_r90_all,difference_in_change,probabilistic_grid_pattern_retrieval,tsmini,75_minus_25,-3.6330128234323524,-7.413293509806475,0.17573978578596097
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,0.25,11.281905368109818,6.586381037188168,15.976293390495893
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,0.50,8.715987934425895,3.8512452054492887,13.625442355659782
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,0.66,3.056234645727607,-0.8905254331143092,7.008672687135382
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,0.75,2.5246954051639348,-2.0731476853985433,6.744545641033053
canonical_cross_method,hit_r90_all,mean_difference,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,mean,6.394705838356814,3.1088108915310797,9.489312108765576
canonical_cross_method,hit_r90_all,difference_in_change,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,75_minus_25,-8.757209962945883,-14.706766669462423,-3.118248759712219
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,most_frequent_personal_destination,0.25,8.328720756801594,2.566617082787261,14.446716654690823
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,most_frequent_personal_destination,0.50,9.465529110056725,3.3082171954074617,16.040173309387036
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,most_frequent_personal_destination,0.66,11.609307286486375,5.208337503562427,18.400502394834984
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,most_frequent_personal_destination,0.75,12.855418569647304,6.760560823400935,19.477130784909264
canonical_cross_method,hit_r90_all,mean_difference,probabilistic_grid_pattern_retrieval,most_frequent_personal_destination,mean,10.564743930748,4.696118777043393,16.896785917798223
canonical_cross_method,hit_r90_all,difference_in_change,probabilistic_grid_pattern_retrieval,most_frequent_personal_destination,75_minus_25,4.526697812845709,1.2300211189601575,8.061040947736533
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,nearest_known_destination_to_current_point,0.25,33.30085273700924,25.730290718677665,41.173145819279185
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,nearest_known_destination_to_current_point,0.50,29.99555363146219,22.334661635508144,38.045138861048756
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,nearest_known_destination_to_current_point,0.66,26.141232323308493,18.548164209390226,34.178405619701685
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,nearest_known_destination_to_current_point,0.75,20.156006294783683,13.206972408525354,27.344969585360452
canonical_cross_method,hit_r90_all,mean_difference,probabilistic_grid_pattern_retrieval,nearest_known_destination_to_current_point,mean,27.398411246640897,20.55873852984797,34.666291087605515
canonical_cross_method,hit_r90_all,difference_in_change,probabilistic_grid_pattern_retrieval,nearest_known_destination_to_current_point,75_minus_25,-13.144846442225553,-19.119248512224114,-7.48663353770741
