catalog_eps_m,method,seed,ratio,user_id,n,coverage_r80,coverage_r90,coverage_r95,hit_r80,hit_r90,hit_r95,hit_fixed_200m,within_200m,within_1000m,median_error_m,p90_error_m,native_within_200m,native_within_1000m,native_median_error_m,native_p90_error_m,median_query_runtime_ms
100.0,recurrent,20260723,0.25,0,40,0.425,0.625,0.625,0.225,0.375,0.375,0.375,0.4,0.525,927.5277141056449,1074082.5424840956,0.4,0.525,938.3003143178751,1074094.131241896,
100.0,recurrent,20260723,0.25,16,12,0.4166666666666667,0.5,0.6666666666666666,0.16666666666666666,0.25,0.25,0.25,0.4166666666666667,0.6666666666666666,364.94515881165535,6765.605868493995,0.4166666666666667,0.6666666666666666,364.94515881165535,6765.605868493995,
100.0,recurrent,20260723,0.25,17,95,0.5473684210526316,0.6,0.6736842105263158,0.0,0.0,0.0,0.031578947368421054,0.47368421052631576,0.5789473684210527,272.91874188884526,7992.892823740841,0.47368421052631576,0.5789473684210527,272.91874188884526,7992.892823740841,
100.0,recurrent,20260723,0.25,19,19,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.42105263157894735,2335.068932233965,5814.082689100388,0.3157894736842105,0.42105263157894735,2335.068932233965,5814.082689100388,
100.0,recurrent,20260723,0.25,20,33,0.7878787878787878,0.8484848484848485,0.8484848484848485,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7575757575757576,0.7575757575757576,0.8787878787878788,64.05677860615754,1941.2202036773278,0.7575757575757576,0.8787878787878788,64.05677860615754,1941.2202036773278,
100.0,recurrent,20260723,0.25,24,24,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.875,73.8876999075359,1692.0890871746515,0.7083333333333334,0.875,73.8876999075359,1692.0890871746515,
100.0,recurrent,20260723,0.25,25,166,0.4578313253012048,0.5120481927710844,0.536144578313253,0.26506024096385544,0.29518072289156627,0.3072289156626506,0.3132530120481928,0.3132530120481928,0.3855421686746988,4469.391565868436,653451.3753666481,0.3132530120481928,0.3855421686746988,4469.391565868436,653451.3753666481,
100.0,recurrent,20260723,0.25,26,11,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,41.49560927740728,803.3975007338955,0.8181818181818182,0.9090909090909091,41.49560927740728,803.3975007338955,
100.0,recurrent,20260723,0.25,28,16,0.4375,0.5625,0.625,0.375,0.5,0.5625,0.625,0.625,0.6875,24.176107614373052,19656.447087807854,0.625,0.6875,24.176107614373052,19656.447087807854,
100.0,recurrent,20260723,0.25,29,11,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.28795689739256,8734.389907119541,0.8181818181818182,0.8181818181818182,33.28795689739256,8734.389907119541,
100.0,recurrent,20260723,0.25,35,19,0.47368421052631576,0.7368421052631579,0.7368421052631579,0.3684210526315789,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,5.553637738207473,5404.79044612598,0.631578947368421,0.631578947368421,5.553637738207473,5404.79044612598,
100.0,recurrent,20260723,0.25,36,18,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.6666666666666666,701.0266481934481,28657.797170932965,0.2222222222222222,0.6666666666666666,701.0266481934481,28657.797170932965,
