catalog_eps_m,method,ratio,seeds,coverage_r80_mean,coverage_r80_sd,coverage_r80_min,coverage_r80_max,coverage_r90_mean,coverage_r90_sd,coverage_r90_min,coverage_r90_max,coverage_r95_mean,coverage_r95_sd,coverage_r95_min,coverage_r95_max,hit_r80_mean,hit_r80_sd,hit_r80_min,hit_r80_max,hit_r90_mean,hit_r90_sd,hit_r90_min,hit_r90_max,hit_r95_mean,hit_r95_sd,hit_r95_min,hit_r95_max,hit_fixed_200m_mean,hit_fixed_200m_sd,hit_fixed_200m_min,hit_fixed_200m_max,within_200m_mean,within_200m_sd,within_200m_min,within_200m_max,within_1000m_mean,within_1000m_sd,within_1000m_min,within_1000m_max,median_error_m_mean,median_error_m_sd,median_error_m_min,median_error_m_max,p90_error_m_mean,p90_error_m_sd,p90_error_m_min,p90_error_m_max,native_within_200m_mean,native_within_200m_sd,native_within_200m_min,native_within_200m_max,native_within_1000m_mean,native_within_1000m_sd,native_within_1000m_min,native_within_1000m_max,native_median_error_m_mean,native_median_error_m_sd,native_median_error_m_min,native_median_error_m_max,native_p90_error_m_mean,native_p90_error_m_sd,native_p90_error_m_min,native_p90_error_m_max,median_query_runtime_ms_mean,median_query_runtime_ms_sd,median_query_runtime_ms_min,median_query_runtime_ms_max
100.0,recurrent,0.25,5,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.28075295258741745,0.006392158281762588,0.2745454425544496,0.287898135980741,0.33005767644187173,0.008685596608564959,0.3189104744780896,0.3406091301897305,0.35919147450951117,0.010114785248074985,0.3482807575833601,0.37008353095231017,0.3950597407360788,0.009618428850958281,0.3857114346711823,0.4072549883479111,0.41791528746014456,0.011976978378760599,0.4044295735107154,0.43031101906997893,0.5272555575865077,0.011984214904353255,0.5108619835601669,0.5402987857400005,2090.33412136435,324.0169762139173,1637.6301930689367,2468.8552459134553,52316.49332569686,14129.020302800833,34035.31235571888,63667.57009306198,0.4198144839539357,0.012026651642662109,0.4058904938905547,0.43250239963973786,0.5272555575865077,0.011984214904353255,0.5108619835601669,0.5402987857400005,2088.022311483627,324.38123349977974,1634.0198263450325,2465.18216809801,52319.10027433054,14129.195064841246,34037.61965370576,63670.19089056422,,,,
100.0,recurrent,0.5,5,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.31809250920926946,0.0027927455861672785,0.3146239499982809,0.3221694423225412,0.3718877727893449,0.0020014355807614604,0.3691038405646477,0.3739901341599152,0.40490116519902414,0.0028474633313250583,0.40205257602726574,0.4080987145566744,0.4515693247421936,0.001903710935657364,0.4495219327917323,0.45440173814924445,0.4710784279064447,0.004846295777969826,0.4658089935869356,0.4772644762551522,0.5831396960029708,0.01014297584336072,0.5682418140355715,0.5924559833476625,1240.3849444522693,188.66988945643115,912.7324074619663,1392.4660867208722,36499.932948411966,17262.45306057444,15816.887642105348,51554.275159836376,0.4729776244002357,0.00482823770804211,0.46726991396677486,0.4787253966349915,0.5831396960029708,0.01014297584336072,0.5682418140355715,0.5924559833476625,1239.3495807504987,190.05169430480427,909.6340134770852,1394.1856807898753,36502.73661721478,17262.69379172916,15819.369254374018,51557.254866918774,,,,
100.0,recurrent,0.66,5,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.3314782608536323,0.012428995697843838,0.31124893450996877,0.3442850384554271,0.3876481959315729,0.013437679552618672,0.36403490015416196,0.39717556614140487,0.4202455280338876,0.013513985083643359,0.3967767947247759,0.43005354584765476,0.4757248647503031,0.015201285912251117,0.45052916095741513,0.48870583617696883,0.4964263325279715,0.01563823596413146,0.47105993915423056,0.5116416683171148,0.6160335159526328,0.011053408963148987,0.6016865191622796,0.625342868866127,1040.652985715511,282.11700691917997,739.130722560136,1497.3571697891384,33372.19208800777,15722.947241667734,16127.6864168886,45279.56848331413,0.4983255290217626,0.015761407533026264,0.4725208595340698,0.513102588696954,0.6160335159526328,0.011053408963148987,0.6016865191622796,0.625342868866127,1040.9283908083505,283.0965870838955,736.5120245267311,1498.2163967701622,33374.859987358075,15723.05809856657,16130.24118890954,45282.412302335055,,,,
100.0,recurrent,0.75,5,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.33611140771523607,0.00785602492204317,0.3264489199144564,0.34577190747280157,0.39298934996397883,0.007983533617310218,0.384443289451264,0.40459494109128524,0.4266932455641613,0.008954787159644833,0.417185184021878,0.4410298738143968,0.48057673180087895,0.011804610295239906,0.4657012700182369,0.49801363801527615,0.5043754595179124,0.014660931504849572,0.4873700283004008,0.5277599343205316,0.627844302364749,0.013001003580611504,0.6135853093702752,0.6472103842498124,998.6976735200217,265.02780386153796,718.2790626457507,1411.1430889381786,32571.573915713776,15984.093203731845,14997.27801963164,44949.1389926897,0.5062746560117034,0.014586746228075207,0.4888309486802401,0.5292208547003708,0.627844302364749,0.013001003580611504,0.6135853093702752,0.6472103842498124,998.529357757144,265.63828872438256,715.9822031811138,1412.1903587999204,32574.148364968307,15984.285704999056,14999.688399546789,44952.387558210066,,,,
100.0,current_position_only_personal_retrieval,0.25,1,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.2214268589753983,0.0,0.2214268589753983,0.2214268589753983,0.2565565159136531,0.0,0.2565565159136531,0.2565565159136531,0.2774821798115761,0.0,0.2774821798115761,0.2774821798115761,0.32385723801371374,0.0,0.32385723801371374,0.32385723801371374,0.34656447963987436,0.0,0.34656447963987436,0.34656447963987436,0.47581491328311126,0.0,0.47581491328311126,0.47581491328311126,2150.590556045978,0.0,2150.590556045978,2150.590556045978,35615.6088423045,0.0,35615.6088423045,35615.6088423045,0.3421221391046805,0.0,0.3421221391046805,0.3421221391046805,0.47724133970953764,0.0,0.47724133970953764,0.47724133970953764,2144.0480894367943,0.0,2144.0480894367943,2144.0480894367943,35617.515710254665,0.0,35617.515710254665,35617.515710254665,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.5,1,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.24932405254594972,0.0,0.24932405254594972,0.24932405254594972,0.2841455524290595,0.0,0.2841455524290595,0.2841455524290595,0.3125295120382902,0.0,0.3125295120382902,0.3125295120382902,0.3636380692238097,0.0,0.3636380692238097,0.3636380692238097,0.3892093025751235,0.0,0.3892093025751235,0.3892093025751235,0.5286623717314817,0.0,0.5286623717314817,0.5286623717314817,2270.6252190859377,0.0,2270.6252190859377,2270.6252190859377,52062.39902619861,0.0,52062.39902619861,52062.39902619861,0.3855909808533535,0.0,0.3855909808533535,0.3855909808533535,0.5301622801279418,0.0,0.5301622801279418,0.5301622801279418,2276.0155388855155,0.0,2276.0155388855155,2276.0155388855155,52054.63482900398,0.0,52054.63482900398,52054.63482900398,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.66,1,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.2928156735362632,0.0,0.2928156735362632,0.2928156735362632,0.3458966384592857,0.0,0.3458966384592857,0.3458966384592857,0.3780646298989642,0.0,0.3780646298989642,0.3780646298989642,0.43410103576279463,0.0,0.43410103576279463,0.43410103576279463,0.4684408474694732,0.0,0.4684408474694732,0.4684408474694732,0.6090063213150634,0.0,0.6090063213150634,0.6090063213150634,1155.4240424681188,0.0,1155.4240424681188,1155.4240424681188,28481.744812750585,0.0,28481.744812750585,28481.744812750585,0.4665778721511797,0.0,0.4665778721511797,0.4665778721511797,0.6099966567648583,0.0,0.6099966567648583,0.6099966567648583,1153.6367835361743,0.0,1153.6367835361743,1153.6367835361743,28475.85973689741,0.0,28475.85973689741,28475.85973689741,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.75,1,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.3075437807880617,0.0,0.3075437807880617,0.3075437807880617,0.3602687228240639,0.0,0.3602687228240639,0.3602687228240639,0.3947065190871927,0.0,0.3947065190871927,0.3947065190871927,0.46066965511079544,0.0,0.46066965511079544,0.46066965511079544,0.5008210224292285,0.0,0.5008210224292285,0.5008210224292285,0.6355400739159837,0.0,0.6355400739159837,0.6355400739159837,812.5803027559836,0.0,812.5803027559836,812.5803027559836,16592.92435325382,0.0,16592.92435325382,16592.92435325382,0.5012532476586986,0.0,0.5012532476586986,0.5012532476586986,0.6364756248515345,0.0,0.6364756248515345,0.6364756248515345,818.7153988193504,0.0,818.7153988193504,818.7153988193504,16597.386188856133,0.0,16597.386188856133,16597.386188856133,0.0,0.0,0.0,0.0
100.0,geometric_retrieval,0.25,1,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.2920567303432127,0.0,0.2920567303432127,0.2920567303432127,0.3351858183826,0.0,0.3351858183826,0.3351858183826,0.3647016103443352,0.0,0.3647016103443352,0.3647016103443352,0.40315581327856825,0.0,0.40315581327856825,0.40315581327856825,0.4351515938212169,0.0,0.4351515938212169,0.4351515938212169,0.5555923515279294,0.0,0.5555923515279294,0.5555923515279294,1467.272662158502,0.0,1467.272662158502,1467.272662158502,41340.061671411946,0.0,41340.061671411946,41340.061671411946,0.42681062041733575,0.0,0.42681062041733575,0.42681062041733575,0.5562680272036051,0.0,0.5562680272036051,0.5562680272036051,1471.2601633152042,0.0,1471.2601633152042,1471.2601633152042,41333.42716144499,0.0,41333.42716144499,41333.42716144499,0.22866809740662575,0.0,0.22866809740662575,0.22866809740662575
100.0,geometric_retrieval,0.5,1,0.4509552835719708,0.0,0.4509552835719708,0.4509552835719708,0.5260342344170057,0.0,0.5260342344170057,0.5260342344170057,0.5703993415411684,0.0,0.5703993415411684,0.5703993415411684,0.30090838192438674,0.0,0.30090838192438674,0.30090838192438674,0.3430913248310435,0.0,0.3430913248310435,0.3430913248310435,0.37075339520221506,0.0,0.37075339520221506,0.37075339520221506,0.4176949026763842,0.0,0.4176949026763842,0.4176949026763842,0.45135306974984046,0.0,0.45135306974984046,0.45135306974984046,0.5937197282628502,0.0,0.5937197282628502,0.5937197282628502,1257.1540932889336,0.0,1257.1540932889336,1257.1540932889336,30369.16981042033,0.0,30369.16981042033,30369.16981042033,0.443027217027436,0.0,0.443027217027436,0.443027217027436,0.5934598530029749,0.0,0.5934598530029749,0.5934598530029749,1260.2677726893805,0.0,1260.2677726893805,1260.2677726893805,30363.673770012498,0.0,30363.673770012498,30363.673770012498,0.22848322987556455,0.0,0.22848322987556455,0.22848322987556455
