catalog_eps_m,method,ratio,seeds,n_mean,n_sd,n_min,n_max,coverage_r80_mean,coverage_r80_sd,coverage_r80_min,coverage_r80_max,coverage_r90_mean,coverage_r90_sd,coverage_r90_min,coverage_r90_max,coverage_r95_mean,coverage_r95_sd,coverage_r95_min,coverage_r95_max,hit_r80_mean,hit_r80_sd,hit_r80_min,hit_r80_max,hit_r90_mean,hit_r90_sd,hit_r90_min,hit_r90_max,hit_r95_mean,hit_r95_sd,hit_r95_min,hit_r95_max,hit_fixed_200m_mean,hit_fixed_200m_sd,hit_fixed_200m_min,hit_fixed_200m_max,within_200m_mean,within_200m_sd,within_200m_min,within_200m_max,within_1000m_mean,within_1000m_sd,within_1000m_min,within_1000m_max,median_error_m_mean,median_error_m_sd,median_error_m_min,median_error_m_max,p90_error_m_mean,p90_error_m_sd,p90_error_m_min,p90_error_m_max,native_within_200m_mean,native_within_200m_sd,native_within_200m_min,native_within_200m_max,native_within_1000m_mean,native_within_1000m_sd,native_within_1000m_min,native_within_1000m_max,native_median_error_m_mean,native_median_error_m_sd,native_median_error_m_min,native_median_error_m_max,native_p90_error_m_mean,native_p90_error_m_sd,native_p90_error_m_min,native_p90_error_m_max,median_query_runtime_ms_mean,median_query_runtime_ms_sd,median_query_runtime_ms_min,median_query_runtime_ms_max
100.0,recurrent,0.25,5,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.28027118644067794,0.012358710250113106,0.25898305084745765,0.2894915254237288,0.32230508474576275,0.01315149392990534,0.30033898305084744,0.3342372881355932,0.344271186440678,0.014167707291767414,0.3206779661016949,0.3572881355932203,0.3631186440677966,0.01258901086203136,0.3410169491525424,0.3722033898305085,0.39484745762711865,0.018125928043879063,0.36474576271186443,0.41152542372881357,0.5096949152542373,0.026381507020425767,0.46915254237288134,0.536271186440678,923.5552288125278,413.0314892915781,595.8215603607042,1609.964337209993,12880.590656057297,384.52962648822904,12193.607607421745,13085.88452746629,0.39661016949152544,0.018254795956388147,0.36610169491525424,0.4128813559322034,0.5096949152542373,0.026381507020425767,0.46915254237288134,0.536271186440678,925.8120479325459,413.49971092773774,595.8215603607042,1609.964337209993,12876.593489835304,382.4274098120094,12193.607607421745,13085.047875763625,,,,
100.0,recurrent,0.5,5,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.311728813559322,0.007292470133979581,0.3016949152542373,0.3193220338983051,0.35647457627118645,0.0075098326812463685,0.34576271186440677,0.36406779661016947,0.38033898305084746,0.008942987090354515,0.368135593220339,0.3911864406779661,0.40583050847457625,0.006279884028154258,0.39728813559322035,0.41491525423728814,0.43403389830508476,0.014135227406557881,0.41627118644067795,0.4535593220338983,0.5549830508474576,0.02005221566459592,0.5335593220338983,0.5823728813559322,505.5546216245348,96.89530346170052,382.75601512537406,623.0348342808487,11879.875161009122,56.98322258183188,11839.98779052272,11980.349555929482,0.43579661016949156,0.014118959444663659,0.4176271186440678,0.4549152542372881,0.5549830508474576,0.02005221566459592,0.5335593220338983,0.5823728813559322,505.8780715345139,98.20911795993122,382.8685817065535,626.1905655701017,11881.512038033494,61.06733045139691,11839.56295448433,11989.381283895036,,,,
100.0,recurrent,0.66,5,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.3289491525423729,0.012614542708057617,0.30847457627118646,0.3423728813559322,0.37654237288135595,0.013791237033080626,0.35322033898305083,0.3891525423728814,0.4012203389830509,0.014614848438712151,0.376271186440678,0.41423728813559324,0.4310508474576271,0.01349476155720359,0.408135593220339,0.4440677966101695,0.4631864406779661,0.018827449445651293,0.43254237288135594,0.47796610169491527,0.5877966101694915,0.020350279348886283,0.5559322033898305,0.6040677966101695,347.55092712168613,96.10825249745618,277.906655286052,503.98093736659257,11657.072232500963,336.90631466840284,11068.580162293192,11875.428397935502,0.4649491525423729,0.018973363145450093,0.43389830508474575,0.4793220338983051,0.5877966101694915,0.020350279348886283,0.5559322033898305,0.6040677966101695,345.8493557254232,96.40287619699693,273.52584446215343,501.881601159493,11657.789708952554,334.98743918450333,11072.772341002348,11875.248839956948,,,,
100.0,recurrent,0.75,5,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.3324745762711865,0.009571095046281121,0.3193220338983051,0.3403389830508475,0.3811525423728813,0.009176365730542991,0.3688135593220339,0.3905084745762712,0.40650847457627115,0.010639964663107425,0.391864406779661,0.41627118644067795,0.43566101694915255,0.008899192853212412,0.4216949152542373,0.4440677966101695,0.471728813559322,0.01732067393248422,0.4488135593220339,0.4942372881355932,0.6017627118644067,0.01806878236888606,0.5749152542372882,0.6210169491525424,307.37623230128185,79.38234425785951,213.20788415274149,415.5544000668032,11458.276335292923,493.53393500598077,10629.808564655268,11839.14290644703,0.4734915254237288,0.017328633191814827,0.45016949152542374,0.49559322033898306,0.6017627118644067,0.01806878236888606,0.5749152542372882,0.6210169491525424,303.95743024668366,79.60050675448036,209.30037224193305,410.8375997679558,11458.19160269539,493.45222804830286,10629.808564655268,11838.719243459363,,,,
100.0,current_position_only_personal_retrieval,0.25,1,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.2094915254237288,0.0,0.2094915254237288,0.2094915254237288,0.23864406779661018,0.0,0.23864406779661018,0.23864406779661018,0.2535593220338983,0.0,0.2535593220338983,0.2535593220338983,0.27796610169491526,0.0,0.27796610169491526,0.27796610169491526,0.3030508474576271,0.0,0.3030508474576271,0.3030508474576271,0.4447457627118644,0.0,0.4447457627118644,0.4447457627118644,1719.1644998453296,0.0,1719.1644998453296,1719.1644998453296,14400.128461911829,0.0,14400.128461911829,14400.128461911829,0.303728813559322,0.0,0.303728813559322,0.303728813559322,0.44610169491525425,0.0,0.44610169491525425,0.44610169491525425,1719.1644998453296,0.0,1719.1644998453296,1719.1644998453296,14400.128461911829,0.0,14400.128461911829,14400.128461911829,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.5,1,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.23796610169491525,0.0,0.23796610169491525,0.23796610169491525,0.2671186440677966,0.0,0.2671186440677966,0.2671186440677966,0.288135593220339,0.0,0.288135593220339,0.288135593220339,0.31661016949152543,0.0,0.31661016949152543,0.31661016949152543,0.34779661016949154,0.0,0.34779661016949154,0.34779661016949154,0.49559322033898306,0.0,0.49559322033898306,0.49559322033898306,1019.6493486843943,0.0,1019.6493486843943,1019.6493486843943,14860.534850711249,0.0,14860.534850711249,14860.534850711249,0.3464406779661017,0.0,0.3464406779661017,0.3464406779661017,0.4969491525423729,0.0,0.4969491525423729,0.4969491525423729,1018.8921180767987,0.0,1018.8921180767987,1018.8921180767987,14996.384938103756,0.0,14996.384938103756,14996.384938103756,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.66,1,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.2888135593220339,0.0,0.2888135593220339,0.2888135593220339,0.33016949152542374,0.0,0.33016949152542374,0.33016949152542374,0.3538983050847458,0.0,0.3538983050847458,0.3538983050847458,0.391864406779661,0.0,0.391864406779661,0.391864406779661,0.43050847457627117,0.0,0.43050847457627117,0.43050847457627117,0.5755932203389831,0.0,0.5755932203389831,0.5755932203389831,472.3102615124982,0.0,472.3102615124982,472.3102615124982,12502.486253147084,0.0,12502.486253147084,12502.486253147084,0.42983050847457627,0.0,0.42983050847457627,0.42983050847457627,0.5769491525423729,0.0,0.5769491525423729,0.5769491525423729,461.0654414048758,0.0,461.0654414048758,461.0654414048758,12502.291774422158,0.0,12502.291774422158,12502.291774422158,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.75,1,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.3050847457627119,0.0,0.3050847457627119,0.3050847457627119,0.3464406779661017,0.0,0.3464406779661017,0.3464406779661017,0.3708474576271186,0.0,0.3708474576271186,0.3708474576271186,0.41966101694915253,0.0,0.41966101694915253,0.41966101694915253,0.46847457627118644,0.0,0.46847457627118644,0.46847457627118644,0.6189830508474576,0.0,0.6189830508474576,0.6189830508474576,300.0238763045822,0.0,300.0238763045822,300.0238763045822,11584.454248003245,0.0,11584.454248003245,11584.454248003245,0.46779661016949153,0.0,0.46779661016949153,0.46779661016949153,0.6203389830508474,0.0,0.6203389830508474,0.6203389830508474,302.54903850943555,0.0,302.54903850943555,302.54903850943555,11605.20830003885,0.0,11605.20830003885,11605.20830003885,0.0,0.0,0.0,0.0
100.0,geometric_retrieval,0.25,1,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.2745762711864407,0.0,0.2745762711864407,0.2745762711864407,0.30983050847457627,0.0,0.30983050847457627,0.30983050847457627,0.32949152542372884,0.0,0.32949152542372884,0.32949152542372884,0.3566101694915254,0.0,0.3566101694915254,0.3566101694915254,0.3905084745762712,0.0,0.3905084745762712,0.3905084745762712,0.5322033898305085,0.0,0.5322033898305085,0.5322033898305085,739.9540124145913,0.0,739.9540124145913,739.9540124145913,13148.757579012,0.0,13148.757579012,13148.757579012,0.3864406779661017,0.0,0.3864406779661017,0.3864406779661017,0.5328813559322034,0.0,0.5328813559322034,0.5328813559322034,738.367062485375,0.0,738.367062485375,738.367062485375,13148.757579012,0.0,13148.757579012,13148.757579012,0.2696271985769272,0.0,0.2696271985769272,0.2696271985769272
100.0,geometric_retrieval,0.5,1,1475.0,0.0,1475.0,1475.0,0.48338983050847456,0.0,0.48338983050847456,0.48338983050847456,0.5532203389830509,0.0,0.5532203389830509,0.5532203389830509,0.591864406779661,0.0,0.591864406779661,0.591864406779661,0.29694915254237286,0.0,0.29694915254237286,0.29694915254237286,0.33152542372881355,0.0,0.33152542372881355,0.33152542372881355,0.3525423728813559,0.0,0.3525423728813559,0.3525423728813559,0.38440677966101694,0.0,0.38440677966101694,0.38440677966101694,0.41491525423728814,0.0,0.41491525423728814,0.41491525423728814,0.5742372881355933,0.0,0.5742372881355933,0.5742372881355933,502.7903103367316,0.0,502.7903103367316,502.7903103367316,11980.349555929482,0.0,11980.349555929482,11980.349555929482,0.41084745762711866,0.0,0.41084745762711866,0.41084745762711866,0.5735593220338983,0.0,0.5735593220338983,0.5735593220338983,490.90008040382844,0.0,490.90008040382844,490.90008040382844,11991.873189371681,0.0,11991.873189371681,11991.873189371681,0.2678632736206054,0.0,0.2678632736206054,0.2678632736206054
