feature,spearman_rho,bootstrap_mean,ci_low,ci_high,users,valid_bootstrap_replicates
training_trajectories,-0.09960868088531798,-0.0938807598216012,-0.4308039011351938,0.26895140613777035,37,10000
destination_regions,0.13688962877760733,0.13214665355921593,-0.19002124801046685,0.4364736629862469,37,10000
destination_entropy_nats,0.14819205794716708,0.14152878638980873,-0.1593616120951528,0.4152815732684418,37,10000
effective_destination_regions,0.14819205794716708,0.14610733059245656,-0.15429868832241736,0.4296757710671334,37,10000
modal_destination_share,-0.10895725906867694,-0.10790870664082881,-0.4167612307399355,0.20458838447778366,37,10000
singleton_region_share,0.3006958724387321,0.2923009622234772,-0.04682874294420815,0.5734368679156868,37,10000
singleton_training_endpoint_share,0.28964372568528596,0.28179934905674614,-0.017721905132810113,0.5488255826594621,37,10000
mean_location_ambiguity_entropy,-0.007350326074179486,-0.005427356460444213,-0.34766309060456824,0.3285011507793415,37,10000
mean_effective_compatible_destinations,0.03046828711393755,0.02904394844731537,-0.3018004645307104,0.35494277244580275,37,10000
no_prefix_analogue_q90_share,-0.46190831172615304,-0.4521912322448471,-0.6946066324895473,-0.15733133507056168,37,10000
