analysis,destination_popularity_stratum,prefix_familiarity,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
joint_familiarity,other_repeated,analogue_present,0.25,bigru,0.3623384299701435,0.3646820340784535,0.469521635385233,3201.0705211989634,30,359
joint_familiarity,other_repeated,analogue_present,0.25,current_position_only_personal_retrieval,0.49703890588587946,0.5033881122350858,0.6048978960637101,1523.6022721607776,30,359
joint_familiarity,other_repeated,analogue_present,0.25,geometric_retrieval,0.6218412851160081,0.6202539835287065,0.709637684234871,893.3526870934238,30,359
joint_familiarity,other_repeated,analogue_present,0.25,most_frequent_personal_destination,0.0,0.0,0.17092630933210642,5131.3276883421795,30,359
joint_familiarity,other_repeated,analogue_present,0.25,probabilistic_grid_pattern_retrieval,0.49287739316192,0.49446469474922156,0.6063632263035502,1383.3342703226697,30,359
joint_familiarity,other_repeated,analogue_present,0.25,tsmini,0.48873174740544734,0.4888904775641775,0.6547697098455836,1427.95973590561,30,359
joint_familiarity,other_repeated,analogue_present,0.5,bigru,0.5048337201059748,0.5062249432619039,0.6182761384005437,1890.331498664425,30,358
joint_familiarity,other_repeated,analogue_present,0.5,current_position_only_personal_retrieval,0.45868360130164715,0.46374312511117094,0.5937879493413621,1785.907639326361,30,358
joint_familiarity,other_repeated,analogue_present,0.5,geometric_retrieval,0.5698107205136672,0.5737789744819212,0.6969295804773145,704.4921182402669,30,358
joint_familiarity,other_repeated,analogue_present,0.5,most_frequent_personal_destination,0.0,0.0,0.15450712517098678,5186.366434819616,30,358
joint_familiarity,other_repeated,analogue_present,0.5,probabilistic_grid_pattern_retrieval,0.5759115751456868,0.5801774481615598,0.6806843173161615,1087.1521517221431,30,358
joint_familiarity,other_repeated,analogue_present,0.5,tsmini,0.5627635846887903,0.5645714745113859,0.6926708439619915,921.6130588745984,30,358
joint_familiarity,other_repeated,analogue_present,0.66,bigru,0.5535529679823001,0.5535849015207428,0.6500979064150384,1502.307929192356,30,359
joint_familiarity,other_repeated,analogue_present,0.66,current_position_only_personal_retrieval,0.6573618350604291,0.666339196496807,0.7794100400166882,745.4736114303213,30,359
joint_familiarity,other_repeated,analogue_present,0.66,geometric_retrieval,0.6701789992523259,0.6795531860855293,0.7885404179454744,357.2946508887018,30,359
