analysis,history_size_stratum,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
history_size,long,0.25,bigru,0.38678485398534307,0.41107254561677803,0.5288536993696337,2662.2213179656846,10,935
history_size,long,0.25,current_position_only_personal_retrieval,0.3062502628456179,0.3209922798821464,0.44825754834297016,2083.824091858103,10,935
history_size,long,0.25,geometric_retrieval,0.3918387030225158,0.424070820902741,0.5610459143031612,990.5098054596767,10,935
history_size,long,0.25,last_observed_point,0.10018814106124307,0.10515991429586809,0.31140010358115816,3804.5711464804444,10,935
history_size,long,0.25,most_frequent_personal_destination,0.3395661618032807,0.37525985604189876,0.5274868464710185,1983.3569347874668,10,935
history_size,long,0.25,nearest_known_destination_to_current_point,0.10018814106124307,0.10515991429586809,0.31140010358115816,3804.5711464804444,10,935
history_size,long,0.25,probabilistic_grid_pattern_retrieval,0.4532038547663782,0.4887953578149668,0.6128838811385494,417.2953439201473,10,935
history_size,long,0.25,tsmini,0.3613671239610752,0.3945442729349113,0.5301722443958171,2188.7860174094526,10,935
history_size,long,0.5,bigru,0.41424954877220993,0.4350288103240513,0.5613864954200861,1819.0511850148669,10,935
history_size,long,0.5,current_position_only_personal_retrieval,0.3207676119302309,0.3408394271153646,0.49028659865431906,2235.807342125949,10,935
history_size,long,0.5,geometric_retrieval,0.4118432968655398,0.4383787344347471,0.5926018934983224,632.5141923630696,10,935
history_size,long,0.5,last_observed_point,0.14470580444432257,0.15613269616279804,0.386475432224919,2655.916534621744,10,935
history_size,long,0.5,most_frequent_personal_destination,0.3395661618032807,0.37525985604189876,0.5274868464710185,1983.3569347874668,10,935
history_size,long,0.5,nearest_known_destination_to_current_point,0.14470580444432257,0.15613269616279804,0.386475432224919,2655.916534621744,10,935
history_size,long,0.5,probabilistic_grid_pattern_retrieval,0.4547140474193975,0.47977949364762323,0.6026843858627986,701.8714645393861,10,935
history_size,long,0.5,tsmini,0.40640045068915487,0.43236972328826573,0.5862230818578428,1547.601377120344,10,935
history_size,long,0.66,bigru,0.4519087457584227,0.47552397785313116,0.600377248936334,1608.7915812778933,10,935
history_size,long,0.66,current_position_only_personal_retrieval,0.41203175100238704,0.44158609877530547,0.567387980516163,875.940995907223,10,935
history_size,long,0.66,geometric_retrieval,0.4342387445654105,0.4564162743128547,0.6306658111302169,460.1785580182441,10,935
history_size,long,0.66,last_observed_point,0.22368268828724194,0.2449581864564469,0.477331625556998,1780.0662335754969,10,935
history_size,long,0.66,most_frequent_personal_destination,0.3395661618032807,0.37525985604189876,0.5274868464710185,1983.3569347874668,10,935
history_size,long,0.66,nearest_known_destination_to_current_point,0.22368268828724194,0.2449581864564469,0.477331625556998,1780.0662335754969,10,935
history_size,long,0.66,probabilistic_grid_pattern_retrieval,0.47216994235063847,0.5041556435098553,0.6461450701674031,501.72688700733613,10,935
history_size,long,0.66,tsmini,0.43235765101329215,0.458601222392387,0.6160846423122812,1065.7111731965347,10,935
history_size,long,0.75,bigru,0.4594540379595319,0.48556156138863693,0.6187279728588884,1152.8713475815925,10,935
history_size,long,0.75,current_position_only_personal_retrieval,0.44759348666886334,0.4754421908699803,0.6134693013269508,453.068627443074,10,935
history_size,long,0.75,geometric_retrieval,0.44588157868933054,0.4728344593198049,0.660541452480828,308.0291746177087,10,935
history_size,long,0.75,last_observed_point,0.2949721211920152,0.3217047449621698,0.5391715881549402,1287.3996407338886,10,935
history_size,long,0.75,most_frequent_personal_destination,0.3395661618032807,0.37525985604189876,0.5274868464710185,1983.3569347874668,10,935
history_size,long,0.75,nearest_known_destination_to_current_point,0.2949721211920152,0.3217047449621698,0.5391715881549402,1287.3996407338886,10,935
history_size,long,0.75,probabilistic_grid_pattern_retrieval,0.4841331054214809,0.5167082111265452,0.655571453623426,344.6055405104151,10,935
history_size,long,0.75,tsmini,0.44450459496392086,0.47340963266738456,0.6335678208550337,978.4940118121419,10,935
history_size,medium,0.25,bigru,0.40105094668900926,0.4334279885118939,0.5007254322260043,2137.5906654685705,12,324
history_size,medium,0.25,current_position_only_personal_retrieval,0.34284289817947333,0.3910878795041648,0.46576581762508534,2453.8318434740795,12,324
history_size,medium,0.25,geometric_retrieval,0.40713644682084804,0.4659875500216843,0.5458131565139575,2344.321935847961,12,324
history_size,medium,0.25,last_observed_point,0.07331269307718584,0.09767750827724131,0.21173551315046357,4243.72867601259,12,324
history_size,medium,0.25,most_frequent_personal_destination,0.3314623530146032,0.3508015906509423,0.40002899404501235,2842.0566062464204,12,324
history_size,medium,0.25,nearest_known_destination_to_current_point,0.07331269307718584,0.09767750827724131,0.21173551315046357,4243.72867601259,12,324
history_size,medium,0.25,probabilistic_grid_pattern_retrieval,0.4062626758393349,0.4542639924466774,0.5217778641272158,2015.754910348718,12,324
history_size,medium,0.25,tsmini,0.37504657412609355,0.42862364739214476,0.5174931027879159,2456.5244323806833,12,324
history_size,medium,0.5,bigru,0.45716703976276823,0.49910427977971833,0.5651562087483141,1782.301812633881,12,324
history_size,medium,0.5,current_position_only_personal_retrieval,0.4128999258976376,0.47855330662443557,0.5426429498807455,2350.4859984512427,12,324
history_size,medium,0.5,geometric_retrieval,0.4079319885393493,0.4732645732216671,0.56826183707858,2249.1345118227705,12,324
history_size,medium,0.5,last_observed_point,0.1139220223287729,0.13512067372669964,0.3642018836965442,3495.8601792813824,12,324
history_size,medium,0.5,most_frequent_personal_destination,0.3314623530146032,0.3508015906509423,0.40002899404501235,2842.0566062464204,12,324
history_size,medium,0.5,nearest_known_destination_to_current_point,0.1139220223287729,0.13512067372669964,0.3642018836965442,3495.8601792813824,12,324
history_size,medium,0.5,probabilistic_grid_pattern_retrieval,0.4330519359619283,0.48210588414821826,0.5505456817546825,1777.3155407515758,12,324
history_size,medium,0.5,tsmini,0.40898462583683787,0.47294942452093486,0.5662787388330867,3269.0476925164676,12,324
history_size,medium,0.66,bigru,0.47767186451759297,0.5225235167424336,0.5927491386347222,1570.4579280813925,12,324
history_size,medium,0.66,current_position_only_personal_retrieval,0.47647129032426516,0.5203843367392186,0.5971923060290719,2060.782521733937,12,324
history_size,medium,0.66,geometric_retrieval,0.43877440315369376,0.5102554287670611,0.5949940741216485,2733.5731113440893,12,324
history_size,medium,0.66,last_observed_point,0.1812849991673409,0.23230992925310243,0.4794198815079822,2806.8525807326478,12,324
history_size,medium,0.66,most_frequent_personal_destination,0.3314623530146032,0.3508015906509423,0.40002899404501235,2842.0566062464204,12,324
history_size,medium,0.66,nearest_known_destination_to_current_point,0.1812849991673409,0.23230992925310243,0.4794198815079822,2806.8525807326478,12,324
history_size,medium,0.66,probabilistic_grid_pattern_retrieval,0.44161675077674317,0.4916703984753184,0.5527027886743753,1673.319625342788,12,324
history_size,medium,0.66,tsmini,0.4295376341880919,0.4932581978344755,0.5934611086605747,2880.6533574014684,12,324
history_size,medium,0.75,bigru,0.4895053022062938,0.5403419840832121,0.605971856379751,1438.5180518035988,12,324
history_size,medium,0.75,current_position_only_personal_retrieval,0.46881911892209377,0.5482858685537938,0.6220766902612822,1480.7666981912491,12,324
history_size,medium,0.75,geometric_retrieval,0.480651536697494,0.549880310058609,0.6343866397642142,2363.5222194006747,12,324
history_size,medium,0.75,last_observed_point,0.26586443811272187,0.33674267176555506,0.5604732383765564,2691.920818808833,12,324
history_size,medium,0.75,most_frequent_personal_destination,0.3314623530146032,0.3508015906509423,0.40002899404501235,2842.0566062464204,12,324
history_size,medium,0.75,nearest_known_destination_to_current_point,0.26586443811272187,0.33674267176555506,0.5604732383765564,2691.920818808833,12,324
history_size,medium,0.75,probabilistic_grid_pattern_retrieval,0.4638975335838418,0.5187943396581841,0.577511915042426,1517.377807900895,12,324
history_size,medium,0.75,tsmini,0.4473394804687711,0.5125236900353224,0.608222060317026,2348.142881404763,12,324
history_size,short,0.25,bigru,0.3598584972532341,0.4147516391990076,0.5474142300194932,1998.957994597438,15,216
history_size,short,0.25,current_position_only_personal_retrieval,0.28602472089314196,0.359534821903243,0.5005590997696261,1959.2311707608626,15,216
history_size,short,0.25,geometric_retrieval,0.3896105794790005,0.44764797093744463,0.5606995392521709,1069.290140408997,15,216
history_size,short,0.25,last_observed_point,0.09588959773170298,0.12046872231082757,0.3523294346978557,4356.942037119507,15,216
history_size,short,0.25,most_frequent_personal_destination,0.3457637781321992,0.3845095693779904,0.5067052099946837,4258.887230624686,15,216
history_size,short,0.25,nearest_known_destination_to_current_point,0.09588959773170298,0.12046872231082757,0.3523294346978557,4356.942037119507,15,216
history_size,short,0.25,probabilistic_grid_pattern_retrieval,0.42445064681906786,0.5035163033847244,0.6123591174906964,949.1871338718894,15,216
history_size,short,0.25,tsmini,0.33747208931419453,0.3922740563530037,0.5242765373028531,2066.324852231082,15,216
history_size,short,0.5,bigru,0.40572700691121744,0.4773755094807726,0.6120286195286195,960.9789595871589,15,216
history_size,short,0.5,current_position_only_personal_retrieval,0.31163476874003193,0.37357079567605883,0.543061757930179,2240.411834147316,15,216
history_size,short,0.5,geometric_retrieval,0.3970277334751019,0.46035264930001774,0.6146500088605351,874.4737336287532,15,216
history_size,short,0.5,last_observed_point,0.14329567605883395,0.17551789828105618,0.4204456849193691,1959.1117085004553,15,216
history_size,short,0.5,most_frequent_personal_destination,0.3457637781321992,0.3845095693779904,0.5067052099946837,4258.887230624686,15,216
history_size,short,0.5,nearest_known_destination_to_current_point,0.14329567605883395,0.17551789828105618,0.4204456849193691,1959.1117085004553,15,216
history_size,short,0.5,probabilistic_grid_pattern_retrieval,0.42120990607832715,0.4996176679071416,0.6598493709020025,518.4340166729081,15,216
history_size,short,0.5,tsmini,0.3768896863370548,0.43626989190147086,0.5823568137515506,1334.9971772542096,15,216
history_size,short,0.66,bigru,0.4159455963140174,0.49416817295764665,0.6450985291511607,1077.0373464313957,15,216
history_size,short,0.66,current_position_only_personal_retrieval,0.3924220272904483,0.47087187666135033,0.6464234449760765,608.1460361196807,15,216
history_size,short,0.66,geometric_retrieval,0.415638844586213,0.49223684210526314,0.6581082757398546,480.69733051438766,15,216
history_size,short,0.66,last_observed_point,0.18470715931242246,0.25358763069289386,0.5037621832358675,1614.5721305918667,15,216
history_size,short,0.66,most_frequent_personal_destination,0.3457637781321992,0.3845095693779904,0.5067052099946837,4258.887230624686,15,216
history_size,short,0.66,nearest_known_destination_to_current_point,0.18470715931242246,0.25358763069289386,0.5037621832358675,1614.5721305918667,15,216
history_size,short,0.66,probabilistic_grid_pattern_retrieval,0.45736310473152575,0.5320671628566366,0.6756321991848308,420.2622221434234,15,216
history_size,short,0.66,tsmini,0.4216904129009392,0.4924763423710792,0.6345764664185717,880.4971851939846,15,216
history_size,short,0.75,bigru,0.4179012936381357,0.4928295233032075,0.6514198121566542,956.6294072206613,15,216
history_size,short,0.75,current_position_only_personal_retrieval,0.4186846535530746,0.5021850079744816,0.6605648591174907,506.5350893612909,15,216
history_size,short,0.75,geometric_retrieval,0.43520955165692005,0.5131964380648592,0.669303561935141,436.1560866437131,15,216
history_size,short,0.75,last_observed_point,0.2478903065745171,0.33559941520467834,0.5945715931242248,1138.1965901980832,15,216
history_size,short,0.75,most_frequent_personal_destination,0.3457637781321992,0.3845095693779904,0.5067052099946837,4258.887230624686,15,216
history_size,short,0.75,nearest_known_destination_to_current_point,0.2478903065745171,0.33559941520467834,0.5945715931242248,1138.1965901980832,15,216
history_size,short,0.75,probabilistic_grid_pattern_retrieval,0.4590200248094985,0.5337240829346093,0.6902520822257664,406.58367064091556,15,216
history_size,short,0.75,tsmini,0.4254856459330144,0.49784653553074604,0.6542134502923976,652.5292634312221,15,216
