catalog_eps_m,method,ratio,seeds,coverage_r80_mean,coverage_r80_sd,coverage_r80_min,coverage_r80_max,coverage_r90_mean,coverage_r90_sd,coverage_r90_min,coverage_r90_max,coverage_r95_mean,coverage_r95_sd,coverage_r95_min,coverage_r95_max,hit_r80_mean,hit_r80_sd,hit_r80_min,hit_r80_max,hit_r90_mean,hit_r90_sd,hit_r90_min,hit_r90_max,hit_r95_mean,hit_r95_sd,hit_r95_min,hit_r95_max,hit_fixed_200m_mean,hit_fixed_200m_sd,hit_fixed_200m_min,hit_fixed_200m_max,within_200m_mean,within_200m_sd,within_200m_min,within_200m_max,within_1000m_mean,within_1000m_sd,within_1000m_min,within_1000m_max,median_error_m_mean,median_error_m_sd,median_error_m_min,median_error_m_max,p90_error_m_mean,p90_error_m_sd,p90_error_m_min,p90_error_m_max,native_within_200m_mean,native_within_200m_sd,native_within_200m_min,native_within_200m_max,native_within_1000m_mean,native_within_1000m_sd,native_within_1000m_min,native_within_1000m_max,native_median_error_m_mean,native_median_error_m_sd,native_median_error_m_min,native_median_error_m_max,native_p90_error_m_mean,native_p90_error_m_sd,native_p90_error_m_min,native_p90_error_m_max,median_query_runtime_ms_mean,median_query_runtime_ms_sd,median_query_runtime_ms_min,median_query_runtime_ms_max
100.0,bigru,0.25,5,0.45476096921680825,6.206335383118183e-17,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.2759648167993744,0.008700744390388745,0.26327700434486223,0.2874705016457677,0.31939081757149596,0.011288005066660436,0.30645269326181196,0.33672364277161565,0.3483500306881885,0.01479512439961116,0.3306922078985917,0.3712928141064621,0.3737422856024583,0.017720331217032582,0.35495410667267285,0.3990167143375092,0.3967558836052772,0.021260371502967453,0.376528579689456,0.4281984089203239,0.516645516892534,0.020794512686264807,0.4924051188676175,0.5461182164948284,2575.6915691981703,478.73007318735625,2004.1934070121629,3164.7507629223855,99796.19343904583,24452.684860108635,68362.99631064148,134797.77038305017,0.39950665809518215,0.020973741438631538,0.379773425325606,0.4299610411177388,0.517139588038779,0.020679272763889922,0.4928991900138625,0.5461182164948284,2573.3817480387725,477.8740269835334,2004.0671169758746,3162.021913058687,99798.21441368441,24453.02686217307,68364.40421486582,134799.86089367658,,,,
100.0,bigru,0.5,5,0.45476096921680825,6.206335383118183e-17,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.301335386698093,0.008456304652417033,0.29235861746683234,0.3141518112396177,0.34671029074018084,0.007763967034111651,0.3372716450374153,0.35680689722471753,0.37789497246239684,0.01057974883330836,0.3622748769358521,0.38833742793235143,0.4127481824550395,0.009374202670871221,0.4006528748408253,0.42197168200965224,0.43321735250526416,0.012266734347860173,0.419014742087458,0.4492183143767479,0.5554523126086026,0.007103852989386997,0.5461771812435567,0.5659627824494686,1950.0636433173906,357.26351615896994,1549.5233106361263,2378.7921691502265,102981.54476827147,45473.238395993125,59693.119508501084,180023.51283557722,0.43557287007817297,0.011948229511638838,0.4217655165773629,0.4509809465741627,0.5558475695255986,0.006986310128930096,0.5466712523898017,0.5659627824494686,1948.573759233388,356.19984861800793,1548.129546279356,2375.774051538821,102983.59002884474,45473.529962724744,59694.225639999786,180025.77479444683,,,,
100.0,bigru,0.66,5,0.45476096921680825,6.206335383118183e-17,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.31804191526806996,0.0065144138954283315,0.31230128599787305,0.3287341161354016,0.3663975033527481,0.006850579086828638,0.3613434130164433,0.37799860629692583,0.3979063274664755,0.007537457898691567,0.3900496484595967,0.40940883799253014,0.434901322782362,0.004142026315181586,0.43083197855704,0.44118597459126224,0.4566473206221972,0.006012623516429323,0.4490253993251575,0.463407104342827,0.5801879224878006,0.004891213955080232,0.5718040038233156,0.5840862523073664,1573.8088607046673,177.15838895586023,1344.0726216874511,1771.1868960467802,99230.1049971822,39941.36421257647,58549.012415951685,165233.20903881584,0.45920046665360414,0.006268402769196402,0.4507880315225723,0.46566380768648685,0.5805831794047966,0.0049057232166685736,0.5722980749695608,0.5850743945998566,1572.7308430647888,177.70157114636174,1342.307488601909,1770.0009319056758,99231.99592890046,39941.72445533865,58550.11537337895,165235.4706831249,,,,
100.0,bigru,0.75,5,0.45476096921680825,6.206335383118183e-17,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.3116831094312342,0.009052115498333319,0.3001963255019407,0.32542211724268943,0.3604999149390217,0.011603614285581966,0.34433256070344337,0.3771158966238419,0.39257871989690474,0.013973430936388484,0.37581238911115633,0.4136849738075754,0.4290783804399682,0.013734161320974672,0.4131975054822004,0.4484429973637774,0.45158624097772276,0.015275961256089671,0.43161975920226303,0.4686821507471739,0.5790492779585273,0.012394710375758325,0.5620494686904148,0.5935657998353552,1598.3876089633827,197.13126732898564,1362.0765466054434,1900.9109498145187,88443.94283993743,21635.60224006063,58294.440720514554,117163.84557897969,0.45433701546762767,0.01549633492246066,0.4338764625459229,0.47143292523707886,0.5795433491047725,0.012527478019323295,0.56254353983666,0.5940598709816003,1597.3493210787208,197.47224936125917,1359.4984825916179,1899.9103685573482,88445.73431239517,21636.031213444978,58295.51688943267,117165.96093904637,,,,
100.0,current_position_only_personal_retrieval,0.25,1,0.4547609692168082,0.0,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.22636442772645085,0.0,0.22636442772645085,0.22636442772645085,0.26278603233093956,0.0,0.26278603233093956,0.26278603233093956,0.2850785152120984,0.0,0.2850785152120984,0.2850785152120984,0.3276833911303346,0.0,0.3276833911303346,0.3276833911303346,0.34867336694197915,0.0,0.34867336694197915,0.34867336694197915,0.4871946652127378,0.0,0.4871946652127378,0.4871946652127378,2224.4956758361454,0.0,2224.4956758361454,2224.4956758361454,53258.01131315547,0.0,53258.01131315547,53258.01131315547,0.34485479466439867,0.0,0.34485479466439867,0.34485479466439867,0.4888360793541519,0.0,0.4888360793541519,0.4888360793541519,2219.8784199586034,0.0,2219.8784199586034,2219.8784199586034,53259.940582942625,0.0,53259.940582942625,53259.940582942625,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.5,1,0.4547609692168082,0.0,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.2535531624681457,0.0,0.2535531624681457,0.2535531624681457,0.29005304925088626,0.0,0.29005304925088626,0.29005304925088626,0.3177665151816586,0.0,0.3177665151816586,0.3177665151816586,0.36392746329032144,0.0,0.36392746329032144,0.36392746329032144,0.3904225932563153,0.0,0.3904225932563153,0.3904225932563153,0.5394922915117544,0.0,0.5394922915117544,0.5394922915117544,2033.6049946033218,0.0,2033.6049946033218,2033.6049946033218,57779.66364968963,0.0,57779.66364968963,57779.66364968963,0.3879000457090987,0.0,0.3879000457090987,0.3879000457090987,0.5407413653157271,0.0,0.5407413653157271,0.5407413653157271,2037.6967420923038,0.0,2037.6967420923038,2037.6967420923038,57772.50418101596,0.0,57772.50418101596,57772.50418101596,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.66,1,0.4547609692168082,0.0,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.296731459746225,0.0,0.296731459746225,0.296731459746225,0.3487129745603129,0.0,0.3487129745603129,0.3487129745603129,0.38297076524868745,0.0,0.38297076524868745,0.38297076524868745,0.43613387455700875,0.0,0.43613387455700875,0.43613387455700875,0.46729567447955295,0.0,0.46729567447955295,0.46729567447955295,0.6168692261082941,0.0,0.6168692261082941,0.6168692261082941,1031.3406407346567,0.0,1031.3406407346567,1031.3406407346567,37303.08777213541,0.0,37303.08777213541,37303.08777213541,0.46653444850739595,0.0,0.46653444850739595,0.46653444850739595,0.6176636952993249,0.0,0.6176636952993249,0.6176636952993249,1033.3086984063127,0.0,1033.3086984063127,1033.3086984063127,37299.049074423376,0.0,37299.049074423376,37299.049074423376,0.0,0.0,0.0,0.0
100.0,current_position_only_personal_retrieval,0.75,1,0.4547609692168082,0.0,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.3126791298832343,0.0,0.3126791298832343,0.3126791298832343,0.363838901070368,0.0,0.363838901070368,0.363838901070368,0.39976703891366955,0.0,0.39976703891366955,0.39976703891366955,0.45883895247103845,0.0,0.45883895247103845,0.45883895247103845,0.4974253277520777,0.0,0.4974253277520777,0.4974253277520777,0.6464944471602732,0.0,0.6464944471602732,0.6464944471602732,748.956986306265,0.0,748.956986306265,748.956986306265,27572.897238787777,0.0,27572.897238787777,27572.897238787777,0.4978367861790116,0.0,0.4978367861790116,0.4978367861790116,0.6467528843752322,0.0,0.6467528843752322,0.6467528843752322,755.6050429428695,0.0,755.6050429428695,755.6050429428695,27578.662907156067,0.0,27578.662907156067,27578.662907156067,0.0,0.0,0.0,0.0
100.0,geometric_retrieval,0.25,1,0.4547609692168082,0.0,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.291021179570958,0.0,0.291021179570958,0.291021179570958,0.3357382464635433,0.0,0.3357382464635433,0.3357382464635433,0.3637345941001173,0.0,0.3637345941001173,0.3637345941001173,0.40245266408958436,0.0,0.40245266408958436,0.40245266408958436,0.43136084899356575,0.0,0.43136084899356575,0.43136084899356575,0.5631286800419038,0.0,0.5631286800419038,0.5631286800419038,1370.6641542183336,0.0,1370.6641542183336,1370.6641542183336,52022.764530945904,0.0,52022.764530945904,52022.764530945904,0.4237524940950341,0.0,0.4237524940950341,0.4237524940950341,0.5642088551949689,0.0,0.5642088551949689,0.5642088551949689,1374.9884865914726,0.0,1374.9884865914726,1374.9884865914726,52017.65824535742,0.0,52017.65824535742,52017.65824535742,0.23241434246301645,0.0,0.23241434246301645,0.23241434246301645
100.0,geometric_retrieval,0.5,1,0.4547609692168082,0.0,0.4547609692168082,0.4547609692168082,0.5276081360925126,0.0,0.5276081360925126,0.5276081360925126,0.574577929505149,0.0,0.574577929505149,0.574577929505149,0.3009283446402014,0.0,0.3009283446402014,0.3009283446402014,0.34536617403961223,0.0,0.34536617403961223,0.34536617403961223,0.3774780964984991,0.0,0.3774780964984991,0.3774780964984991,0.4249659207795333,0.0,0.4249659207795333,0.4249659207795333,0.45842574206807685,0.0,0.45842574206807685,0.45842574206807685,0.6076881149957956,0.0,0.6076881149957956,0.6076881149957956,1117.0625036962142,0.0,1117.0625036962142,1117.0625036962142,42136.03532633238,0.0,42136.03532633238,42136.03532633238,0.45128567930543145,0.0,0.45128567930543145,0.45128567930543145,0.6079731560417061,0.0,0.6079731560417061,0.6079731560417061,1120.2620288157516,0.0,1120.2620288157516,1120.2620288157516,42131.89004272806,0.0,42131.89004272806,42131.89004272806,0.23401901125907895,0.0,0.23401901125907895,0.23401901125907895
