config_id,resample_points,macro_hit_r90,macro_within_1000m,macro_user_median_error_m
points_16,16.0,0.4068732657834541,0.5891324853368841,11919.331352357372
points_32,32.0,0.40568435382572343,0.5897652301064562,12015.50192852096
points_64,64.0,0.4049509315709923,0.5895802162304155,12080.442931078322
